reviews,label
"Sumpah Kecewa Banget Sih Dapet Barang Perasaan Bekas Mulu, Padahal Mau Di Jual Lagi Gegara Barang Nya Jelek Jadi Rugi Gw Kalau Mau Di Jual Lagi",__label__1
Cara pemesanan produk di aplikasi mudah dipahmi...tapi untuk diaplikasi toko mohon dong agar setiap ukuran baju/celana dikasih tau apa itu ukuran luar atau buatan Indonesi...agar kita konsumen lebih memahami sebelum pesan produk toko...oh yaa foto dikripsi harus sesuai dgn barang yg dijual...mohon diperhatikan lagi yaa.. trimaksi 🙏🙏,__label__1
Kenapa shopee semakin pelit gratis ongkir . .  ketentuan nya banyak banget dan kadang sudah di klaim tetapi tidak bisa di gunakan. . . banyak pelanggan yang beralih ke toko online lain sebab lebih murah ongkirnya,__label__3
"Makin kesini makin buruk,,untuk bulan ini baru make 2* untuk checkout belanja ga bisa. . akun gagal ada masalah 02 dikarenakan dibekukan atau keterlambatan bayar shopeepay later lah. . haduh. . makin kesini makin buruk aja. . udah verifikasi ktp tetep aja ga bisa. . . mohon tolong dong dikit2 jangan bekukan akun. . ngeselin. . kasus nya sama kayak temen q juga nih. . akunnya beku sendiri pas mau buat checkout",__label__3
  best aplikasi mudah transaksi hasil uang  oh layan puas kecewa masalah langsung beres ramah suka terimakasih,__label__5
"Makasih shopee,  dgn belanja di shopee barang bagus kualitas ok,  kurir juga ok",__label__5
"Untuk merekrut penjual dishopy yg amanah kasian konsumen,  msh byk yg cmn cr keuntungan aja tdk mikirin konsumen",__label__5
"Saya udah bertahun tahun pake aplikasi ini dan hampir tiap hari beli barang disini,tp kenapa sekarang aplikasinya jd lemot minta update terus,udah di update malah ga bisa dibuka,padahal memory bs bnyak, ga penuh gitu,nyedot kuota terus jadinya,sebel",__label__3
selalu yg terbaik buat shopee. sukses selalu. ,__label__5
"kenapa aplikasinya semakin kesini semakin gk bagus. . .  contohnya klo dulu sedang dikirim,,,klo sekarang malah diterima,,padahal barang baru dikirim dari seller. . .  aneh. . .  kembalikan seperti dulu aja. . . ",__label__3
virtual account billing? atm di daerah saya belum ada.  tolong dikembalikan ke semula transfer banknya.  cek manual juga sebelumnya hanya menunggu 10 menit.  pengguna khwatir uangnya apa betul terkirim atau tidak.  tolong dikembalokan seperti semula,__label__3
"Wkwkw shopee kenapa si sakit kah? Dulu aja Ada event gede ga pernah macet, sekarang ga pernah lancar eror mulu pasti gakuat ya nampung banyaknya pengguna yang make di waktu yg sama, gausah bikin event kalo ga kuat bikin greget pengguna shopee 😂",__label__3
"Ngadain cashback gk jelas, cashback jarang masuk. Sekarang apk tembah lemot. Mitra banyak yg curang. Jadi males beli/belanja pake shopee mau pindah aja ke toko ijo.",__label__1
Terus berkembang & berbenah,__label__5
"Belanja aman,  pengiriman nya cepat,  pengemasan nya aman dan rapi. ",__label__5
Semua gratis ongkir gabisa dipake,__label__1
mantap shopee yg skrg.  👍 q suka belanja di shopee skrg,__label__5
Selalu sesuai dengan pesanan saya,__label__5
Addicted banget dah. terutama bagi kami pemburu discount dengan kualitas barang yg ok punya,__label__5
Aplikasi yg sering minta update... Para!!!,__label__1
"pertama instal si aman, cuman yang hadiah gratis atau apalah itu untuk pengguna baru gabisa di klaim(tapi bodo amad si, gpp). . nah ini makin kesini makin jadi jadi ni masalahnya:v.  kalo search nama toko di kolom pencarian, nanti aplikasinya keluar sendiri dan berhenti beroperasi:v(anjir, sekentang itu ya hp gw🙂). . . nah kata temen harus diupdate dulu, y oklah saya update(dan ini lagi proses btw) ya semoga aja beres seperti semula:v .  gatau gw ngetik apaan:v, daripada cuma ngasih bintang yakan:v,",__label__3
Untuk shopee tercinta. . . jagalah keamanan akun customer. . . karena akun sy pernah di bajak dan memberikan iming2 vocer senilai 2jt. . . semenjak itu akun sy gk bisa di buka dan akhirnya wassalam. . .  shopee sy uninstall dari android sy,__label__3
Shoopee mantap tp semakin banyak penjual yg nakal tolong shopee lebih ketat lagi dalam seleksi penjual trutama hp second,__label__5
Kecewa sama Shopee udah berapa taun gue make apk ini pas HP di riset login ke akun lama ngga bisa lagi!!!! Tulisanya ngga bisa verifikasi log in terus!! Padahal sandi nomor/email sudah benar semua!!!,__label__1
"Bintang 3 aja ya, terlalu terbatas untuk voucher gratis ongkir disemua kurus expedisi tidak sesuai dengan slogan",__label__3
Aplikasi shopee kenapa ya sekarang jadi susah mau tambah alamat baru ke alamat yg lain? Saya mau beli barang terus di kirim ke alamat lain ko susah ya? Gagal terus. . ,__label__3
Aplikasi licik penjualnya pun licik gak berkah gak amanah...,__label__1
"Maaf bintang 3 dulu ya. . .  Sebenernya suka bgt pakai shopee, tapi loadingnya itu lo ya ampun. . .  Sampai aq hapus download lagi, rutin update juga masih tetep aja loadingnya. . .  Mohon perbaikannya ya min 🙏 nanti klo udah gk loading2 lagi aq ganti bintang 5 deh 😘",__label__3
Byk diskon.  byk fitur.  belnja lebih nyaman.  aman.  dan mudah. ,__label__5
Belanja di Shoppe selama ini tak pernah ada penipuan & beberapa brgnya cpt dlm pengiriman,__label__5
Akun tiba2 di blok... Enggak asik nih sekarang beda sama aplikasi yg lain...,__label__1
Semenjak ada shopee gak perlu bingung lagi kalau mau belanja sesuatu. semua tersedia,__label__5
"Aplikasi bagus banget,  barang nya murah murah kwalitas nya tidak dirahukan lagi",__label__5
Pertahankan dan lebih baik lagi,__label__5
mending pindah ke apk sebelah.yang jelas diskon sama event nya,__label__1
   tidak ada gratis ongkir belanja pakai shopepay gratis ongkir,__label__3
"kenapa akun dan passwordku tidak sah ya,padahal kemarin masih bisa digunakan trs logout dengan sendirinya...gmna dong ini,mana lagi ada pesenan lagi",__label__1
"Suka aplikasi ini,  sangat membantu,  bisa belanja kapanpun dan dimanapun",__label__5
  malas kirim lelet belit belit,__label__1
"haloo shopee. .  ini knapa ya setelah di perbaharui ko ga kliatan gambarnya. .  tapi saat buka setting semua ga msalah. .  anehnya knapa ga ada sama skali gambar"" semua produknya. . gimana mau blanja klo ga kliatan gambarnya. .  sinyal saya bagus ko ga masalah di aplikasi lain. .  tolong dijawab . .  thx",__label__3
"Aplikasinya bagus.  Cuma, kenapa ya loading nya lama banget, kadang tiba-tiba berhenti.  Padahal sinyal di rumah saya bagus banget lho.  Pertama buka aplikasinya juga lama banget, tolong diperbaiki yaa",__label__3
"Saya pernah ketipu juga, pihak toko salah kirim barang, saya kembalikan barangnya, malah duit saya tdk di kembalikan dan toko tdk bisa di kasi penilaian.  Cs nya shopee jg kurang ramah, kita harus chat kasar baru di balas tanggap, klu gk berbelit2.  Selebihnya oke2 aja. ",__label__3
Saya kasih 3 bintang aja soalnya banyak barang yang aku pesan tidak sesuai dengan ekspektasi yang saya lihat di gambar. ,__label__3
sip shopee barang nya bagus bagus,__label__5
Huhu udah lama pakai ni apk dulu mah beneran oke tapi sekarang nauzubillah gratis ongkirnya boongan.  Masa gedean ongkir ketimbang produk yang mau dibeli.  Nyesek ga si 😭,__label__3
"Mana coba katanya dapet vocher gratis ongkir tetep bayar 🖕,katanya dapet cashback mana coba gak dapet su",__label__1
Shopee pelit sekarang gk kayak dulu Ngasih voucer gratis ongkir katanya minimal pembelian 30 rb saya beli 50 juga nggk ngaruh Kalo gak niat ngasih jangan ngasih kayak lazada aja,__label__1
Iklan yang menggangu.,__label__1
"Tolong ya pengembalian dana tiket pesawat saya segera d tf kesaya Sudah dr tgl 15 November 2019 sampai skrg ga ada konfirmasi apapun mengenai pengembalian tiket pesawat saya,,,, Sistem kerja shopee bagaimana ya,, Suru tunggu Email ga ada email apapun malah cuma d suru tunggu 30hr jam kerja padahal klo d hitung sudahmw 2blan itu duit ga d balik2n",__label__3
bener bener ni shopee pembohongan,__label__1
Alhamdllh puas. smoga sllu memuaskn dg jual prodak yg bagus dan tdk   custamer,__label__5
Mantep banget pakai shope. sering belanja dimari dach,__label__5
"Gampang,  murah tapi bukan murahan loh ya",__label__5
"Hati hati memakai shope paylater, bunga dan biaya admin tidak tercantum Selama ini saya baru sadar ada selisih yg sy bayarkan, Pas saya membayarkan tagihan saya, tagihan + limit yg belum ke pakai = total limit (tidak sesuai dngan penambahan) Di jelaskan dr paylater ada biaya bunga dan admin tp tidak tertera (tidak transparan) Nominal cukup gede.. contoh pemakaian limit 240rb kena biaya 40rb, ada beberapa kali yg sengaja sy capture sebelum pembayaran dan sesudah pembyarn selisih cukup jauh",__label__1
Disuruh update mulu heran. Dan waktu mau liat live malah keluar mulu.,__label__1
"Sangat memuaskann pokonya, saya senang dengan geratis ongkir nya",__label__5
"Ni saya ada keluhan. . . . .  Saya ikut event Shopee ajak teman. . . . .  Kemaren mah masih lancar "" Aja saya ikut saya share link. . . .  Saya udah narik saldo Shopee pay bisa. . . . .  Tapi sekarang waktu saya mau narik saldo lagi. . . . .  Malah katanya. . . . .  Tidak bisa ikut event karna ada aktivitas yang janggal. . . . .  Janggal gimana si saya cuman share link doang kok janggal. . . .  Mohon di cek akun Shopee: Chaladit13. . . .  Mohon bantuannya kak",__label__3
Maaf gan bintangnya sya turunin ya....,__label__1
"Gak jelas , baru buat toko seller baru selalu kena pelanggaran kga jelas",__label__1
"Spaylater beberapa hari ini tidak bisa dibuka. Hanya loading/muter"" terus, Padahal mau bayar tagihan, sdh mendekati jatuh tempo soalnya. Bisa minta solusinya?",__label__1
"Mending uninstal aja , apk sampah , id saya berkali2 eror, sangat merugikan waktu berbelanja online di APK ini.",__label__1
"Senang sekali, banyak promonya",__label__5
"Parah banget shope yg skrang, masak sudah 3 hari tidak bisa menerima kode otp untuk penambhan rekening, padahal nomor masih aktif, dan kode otp untuk penambahan rekening hanya bisa dilakukan melalui sms",__label__3
"Gara-gara kepencet hidupin VPN aku saya yg gold malah hilang, mungkin karena server luar negeri, gitu jadinya deh, hedeh... Malah gak bisa akses akun lama saya lagi, kecewa kali ini masa cuma hidupin VPN biar koneksi cepet, malah ngilangin akun, gimana sih? Bingung saya mau uninstall aja nih apk Shopee 😔😔😔",__label__1
Shoppe demi kenyamanan customer tolong tindak lapak penipu Nauraollshop 1717,__label__1
"Saya sudah semringah aja dikasih saldo shopeepay later Rp.  1. 200. 000. .  Eh pas ada corona di potong 50% dana nya jadi 600. 000. . eh jelang beberapa hari kemudian di potong lagi limit saya jadi Rp.  0,-. .  Padahal cicilan saya di bayar sebelm jatuh tempo terus. .  . .  Sedih ah. .  Shopee gak ngelindungi pelanggan yang punya potensi bagus. . . . ",__label__3
"I love u shope,  semoga dapet shope pay gratiss hehe.  Pelanggan setia nih",__label__5
  mohon tambah kolom keti manual ulas order makan minum  food,__label__3
Kenapa y kalo terlalu lama buka aplikasi shope kalo lagi liat2 produk yang di cari suka ngelg . mohon di perbaiki lagi min.  . .  aplikasinya terlalu berat jadi sring ngelag kalo lagi cari barang . . ,__label__3
"Tidak bisa pilih jasa kirim, dapat kurir yg lama banget",__label__1
"Untuk Shopee yg sekarang, kekurangan nya soal jasa pengiriman, beberapa kali saya mengalami gagal pick up, perbaikilah, kalo gak kembalikan seperti yg dulu demi kepuasan konsumen. makanya untuk belanja barang yg sifat nya urgen,atau penting,saya pake si hijau, semoga bisa jadi input bagi Shopee",__label__3
"Harga terjangkau,  produk komplit,  pengiriman cepat,  pack terjaga. ",__label__5
Mungkin cuma bisa beri 3.  Karena makin kesini makin dibatesi gratis ongkirnya.  Trus makin lama app makin berat.  Untuk produk di dalamnya memang lengkap dari yang murah sampek yg mahal pun.  Sukanya dari situ sih .  Cmn shopee g jual keramik yaa.  Kan katanya semua ada dishopee,__label__3
  kaya belanja star seller koin belanja ribu koin lumayan koin susah,__label__3
"kenapa ya pas buka app shopee selalu lama, bukan jaringan internet saya, krn tiap saya buka yg lain lancar2 aja.  kayaknya app shopee ini terlalu berat atau knp ya.  mau klik pembayaran ahopee food ke shopeepay aja lama bngt. ",__label__3
   online shop indonesia mudah konsumen daerah pencil terimakasih,__label__5
Ga ada ujan ga ada angin shopee pay gua di nonaktifkan kan asw...,__label__1
Barang2 nya bagus & sesuai harapan.  Pengiriman & respon juga bagus2. ,__label__5
Buat gratis ongkir sebaiknya untuk semua pembayaran ya.  Kebanyakan sih mesti milih metode pembayaran dulu.  Dan untuk pengaktifan shopeepaylater nya sekarang ada persyaratannya juga harus ada min.  Belanja brpa kali baru bisa aktif.  Kalo dulu kayak nya enggak deh.  Semoga kedepannya semakin lebih baik aja. ,__label__3
Aku suka shopee.  . ❤❤❤👍👍👍👍 Shopee yang terbaik . 💃💃💃🙌💯,__label__5
Shoppe sangat membantu sekali dalam mencari barang yg kita inginkan👍 pertahankan ya,__label__5
Trimakasih shopee telah membantu saya untuk berbelanja dengan mudah,__label__5
Membuat smua jadi mudah,__label__5
"Kenapa setiap mau kasih nama produk nggabisa dikasih (space) dan ongkir ko jadi mahal yaa, setiap ada customer mau CO msh ada pembayaran ongkir mahal.  Pdhl dpt subsidi ongkir jua min. .  Tolong bantu jawab min? Apakah shopee saya yg bermasalah?",__label__3
Alhamdulillah selama ini sy blnja di Shoppe tdk ada kendala terima kasih. ,__label__5
Cok ko iklan lu dmn2 sii Ke apk apa pasti iklan lu gmn sii bosen gw Lagi seru2 eh muncul iklan lu,__label__1
"Payah Aplikasinya Lemot bngt Loadingnya Padahal Jaringan Bagus Dan Lancar.  Terus setelah aplikasi di update, malah jadi ga bisa melihat ulasan :( udah gitu akun ke logout sendiri ,saat mau login ,ada keterangan sistem mengalami gangguan. ",__label__3
"metode pengembalian uang sangat lama. .  padahal dari pihak distributor sudah konfirmasi.  Dan kenapa untuk pembayaran menggunakan cc, pengembalianya diangsur setiap bulan? Tidak langsung dikembalikan penuh. ",__label__3
"Apakah beli di shopee aman dari penipuan. . . . ? Lalu bagaimana jika ada cadstem yang ketipu oleh penjual di shoppe , siapah yang akan bertangung jawab ??? Apakah uang dikembalikan etc.  Lalu bagaimana dengan barang yang tidak sesuai dengan postingan lapak , apakah bisa dikembalikan kembali.  ? Jika bisa saya kasih bintang (5) , pesan saya untuk shoppe dibuat seperti tokohpedia barang nyampe baru bayar Cod. 😊🙏",__label__3
"Good, , ,  tolong sortir pedagang/cs yg tidak bertanggung jawab 🙏🏼🙏🏼🙏🏼",__label__5
"shopee skrg lemot bgt klo diakses lama-lama,sempat sering nyalahin sinyal,pdhl shopeenya yg lemot :((",__label__3
Puas sekali belanja di shoope,__label__5
  sistem stok dilock  seller update stok kecewa belanja tanggal status kemas info seller barang pesan stok kosong sial kelas official store layan jelek,__label__1
Ini kenapa banyak voucher belanja yg tidak dapat di gunakan ya jadi kesel😤,__label__3
"Agar lebih di seleksi para penjual pada marketplacenya, masih banyak penjual yang belum bisa di percaya. Saya beberapa mengalami barang rusak minta di kembalikan tidak disetujui, barang gak jadi order masih tetap di kirim dengan alasan barang sudah di pickup.",__label__1
Setiap update sering tidak lengkap. . . .  Kadang fitur mau masuk games ada kadang tidak kini koin shopee fiturnya hilang games pun menghilang masuk games hanya kalau ada notifikasi. . . .  Mau claim koin shopee pun ribet harus keluar dulu ke beranda Kenapa makin lama makin ribet. . . . ,__label__3
Bagus banget!!!!!!!!!!!pengen beli barang yang aku mau serba ada🤩🤩🤩,__label__5
dapet voucher tp gak bisa dipake,__label__1
  hati  tipu pay bobol,__label__1
Hallo shopee . Dulu kamu nomor satu di hp ku karna sering ku gunakan untuk jualan online . Tp semenjak kamu ongkirnya MAHAL N ga masuk akal .. skrg aku berpaling ke lazada yg ongkirnya super MURAH .. n kau sama sekali gak kutengok lagi 🙃,__label__1
Terjadi banyak pencurian barang nih shopee perbaiki dong,__label__1
  pakai gratis ongkir pakai shopepay topup shopepay total nominal ongkos kirim bohong goblok beda hijau pakai bayar apa lemah,__label__1
Bnyk iklan yg sangat mengganggu,__label__1
Selalu belanja disini lebih mudah dan sering gratis ongkir jg puas pokoknya tingkat kan terus ya shopee🤗🤗,__label__5
Pengiriman lama dan tidak ada perubahan di status lacak barang (Shopee Standar Express). Spaylater yg selalu error dan tdk bisa digunakan. Karena pihak Shopee nya yg membatalkan. Padahal saya tidak pernah terlambat dalam membayar tagihan. Saya sudah sering melaporkan di chat live tapi tidak ada perubahan atau kemajuan. Sangat mengecewakan 😊👎,__label__1
Setelah sekian lama jadi pelanggan shopee. Baru kali ini saya sangat kecewa. Yang salah sistem yang dirugikan pelanggan. Beli paket paket gak masuk tapi uang tidak dikembalikan.buruk  sekali,__label__1
"Shopee knp aneh,,tiba2 fitur cod gk bisa dipke,,",__label__1
  log sistem jaring masalah silah coba,__label__3
"SAYANG NYA MEMBER PLATINUM KENAPA BISA TURUN JD MEMBER GOLD ,  PDHL SUDAH PULUHAN JUTA BELANJA",__label__5
"Gw jadi belanja trs tpi gpp,  btw pas gw mintol sama shopee nya,  baik bgt sumpahh,  trs asa bercanda"" nya gtu,  kece emg shopee",__label__5
"Makin kesini semakin mengecewakan . Coba tolong jangan dikit2 update. Update nya gede data lagi. Makin lelet jdinya ga ada kemajuan. Buka halaman shopee jadi lebih lama. Padhal hp bukan hp kentang2 amat. Juga soal pengembalian, coba harap ditingkatkan lagi pelayanan. Saya sudah berkali2 bikin pengajuan pengembalian dan beberapa kali ditolak. Mohon untuk admin, toko2 yg merugikan konsumen harap ditegur. Klw barg baik kan gak mgkin komplen.",__label__1
Saya belanja gak bisa-bisa emng akun saya knapa padahal saya sudah login lougout berkali-kali tapi gak bisa belanja maaf nih ya sering banget saya masuk ke apk nya ngeleg banget laman bernda nya lama bangat muncul nya padahal koneksi internet saya full 4G,__label__3
Mantaf bagus barangnya . dan kiriman cepat. the best pokoknya,__label__5
"Shopee, gimana nih.  Ada seller yang batalin pesananku karena dia bilang alamat saya gak lengkap, padahal itu udah lengkap dan setiap saya mesan selalu sampai.  Sekarang, uangnya harus ambil di shopeepay.  Tapi saya gak bisa daftar shopeepay, katanya kode otp sudah berakhir.  Ini gimana ya? :(",__label__3
"Kak ini ko shopee aq susah sekali di buka ny. . .  Kuota jg baru beli, jaringan bagus. . .  Setiap mau buka kategori selalu loading trus. . . padahal saya sering belanja bulanan di shopee. . .  Tolong bantuannya. . terimakasih . ",__label__3
"Selamat pagi min,saya kemarin sudah bayar tagihan paylater saya dan sudah berhasil tapi kenapa paylater saya tidak bisa di pakai plus setiap mau dipakai harus bayar tagihan dulu sedangkan saya sudah tidak punya tagihan. ",__label__3
"Alhamdulillah dengan adanya Shopee apapun mudah , terbantu sekali sukses dan tambah sukses ya🤩🤩🤩🤩",__label__5
"Pesan shopeefood, alamat sama titik coordinatnya beda. Gara-gara itu saya nunggu 1jam makannya mie ayam. Nelpon ke call center ngga ada solusi. Cuma dikasih feedback doang. Masih jauh lah sama GOFOOD ATAU GRABFOOD. CS ShopeeFood juga ngga kompeten ngomong kayak orang ngga sekolah.",__label__1
  memberitahu tagih spaylater bayar telat nunggak diberitahu bayar,__label__3
kecewa sih sama pihak shoope,__label__1
  lelet,__label__1
  mantap cepat proses,__label__5
Shoppe sangat mengecewakan,__label__1
Ribet cara pasang iklannya tolong fiturnya di permudah agar bisa posting jualan nya mudah,__label__3
Saya tidak bisa login ke akun saya sendiri. Harus menggunakan verifikasi wajah tetapi wajah saya tidak dikenali. Padahal 5 hari lagi saya harus membayar iyuran shopee. Takutnya kalau gini terus bisa bisa iyuran saya bisa membengkak.,__label__1
"Gatau kenapa shopee sekarang bener² ga selektif banget atau gimana ama penjual nakal! Bbrapa penjual yg lebih banyak dapet bintang 1 harusnya pihak shopee lebih aware jg.  Beberapa ada penjual yg ga responsif bahkan terkesan curang, mentang² byk followers dan byk penilaian tp ga diperhatikan masalah penilaian² yg sangat kurang atau bahkan merugikan customer. .  So please , shopee .  Slama ini aku sebagai konsumer jarang bgt kasi bintang 1 .  Bahkan ga pernah bs di cek . .  Tp bulan ini bener² deh !!",__label__3
Masasurubalikin??wd aja blm,__label__5
"Biaya penanganan shopepaylater nya wow banget yaa,  beda sm sebelah murce bgt 😁 gapapa tapi tetap belanja di shopee 😗",__label__5
"Saat ini saya sudah tidak dapat membeli apapun lagi di shopee, entah ada kendala apa, ada tulisan 'ups!! Telah terjadi kesalahan.  Silakan mencoba beberapa saat lagi' setiap kali mencari barang, mohon bantuannya dari pihak shopee untuk membantu mengatasi masalah ini, atas kerjasamanya saya ucapkan terima kasih. ",__label__3
"kecewa sama pembayarannya, bertanya sama cs juga tidak membantu :(",__label__1
gajelas koin tiba tiba ilang padahal belum d pake hadeh,__label__1
