reviews,label,review
Tolong aplikasi nya di perbaiki buka ShopeePay aja engak bisa... Di Update bukan tambah  malah tambah jelek...,__label__1,__label__1 Tolong aplikasi nya di perbaiki buka ShopeePay aja engak bisa... Di Update bukan tambah  malah tambah jelek...
Knpa Slalu gagal dftr paylater. Data sudah lengkap tp slalu di tolak.,__label__1,__label__1 Knpa Slalu gagal dftr paylater. Data sudah lengkap tp slalu di tolak.
"Kecewa 2x perubahan nomer gagal terus alasan tidak sesuai KTP , pdhal aku sesuai ktp waktu masukin data",__label__1,"__label__1 Kecewa 2x perubahan nomer gagal terus alasan tidak sesuai KTP , pdhal aku sesuai ktp waktu masukin data"
Kenapa shopee sekarang berat banget lelet,__label__1,__label__1 Kenapa shopee sekarang berat banget lelet
Jelek banget kecewa donlod sope.... Blanja responya jelek harga mahal2 ongkir juga mahal.... Kecewa donlod shpe.... Mending pake aplikasi yg lain.... Cepet trus gag ribed pelayanan ramah....,__label__1,__label__1 Jelek banget kecewa donlod sope.... Blanja responya jelek harga mahal2 ongkir juga mahal.... Kecewa donlod shpe.... Mending pake aplikasi yg lain.... Cepet trus gag ribed pelayanan ramah....
Tidack ramah bintang 1 Cashback menurun bintang 1 Ngecewain bgt njirr dahlah gulung tikar aja,__label__1,__label__1 Tidack ramah bintang 1 Cashback menurun bintang 1 Ngecewain bgt njirr dahlah gulung tikar aja
Daftar sopeepaylater 2x gak di acc.parah ini emang aplikasi padahal sudah banyak belanja di shoppee,__label__1,__label__1 Daftar sopeepaylater 2x gak di acc.parah ini emang aplikasi padahal sudah banyak belanja di shoppee
"Paylayter gua ada 400rb, tapi kgk bisa di pakai atau pembayaran gagal trus, udah 5x ajim",__label__1,"__label__1 Paylayter gua ada 400rb, tapi kgk bisa di pakai atau pembayaran gagal trus, udah 5x ajim"
"sudah capa2 isi shope pay malah saldo gak cukup, padahal kalau ditotal dg diskon saldo sdh cukup. tolong diperbaiki algoritmanya pembayran shope pay.",__label__1,"__label__1 sudah capa2 isi shope pay malah saldo gak cukup, padahal kalau ditotal dg diskon saldo sdh cukup. tolong diperbaiki algoritmanya pembayran shope pay."
"Kk gmn sihh,aku pengen download shopee ga bisa bisa sinyal   ,kuota ada apa yg kurng",__label__1,"__label__1 Kk gmn sihh,aku pengen download shopee ga bisa bisa sinyal   ,kuota ada apa yg kurng"
"Paylater dah lunas masih di tagih.. colector namanya bertus tolong di pecatt. Sekelas shopee lo gk kroscek dlu mo nagihh hm , gak sopan pulak nagihnya gk pke permisi/salam.",__label__1,"__label__1 Paylater dah lunas masih di tagih.. colector namanya bertus tolong di pecatt. Sekelas shopee lo gk kroscek dlu mo nagihh hm , gak sopan pulak nagihnya gk pke permisi/salam."
Top up shopeepay udah lewat 1x24 jam gal ada respon sama sekali. Gimna sih?,__label__1,__label__1 Top up shopeepay udah lewat 1x24 jam gal ada respon sama sekali. Gimna sih?
Kenapa akun saya di batasi dan tidak bisa login padahal tidak melakukan pelanggaran,__label__1,__label__1 Kenapa akun saya di batasi dan tidak bisa login padahal tidak melakukan pelanggaran
Saya sudah beberapa kali tidak mendapat notifikasi aturan dan kebijakan baru shopee,__label__1,__label__1 Saya sudah beberapa kali tidak mendapat notifikasi aturan dan kebijakan baru shopee
Kenapa saya gak bisa masuk ke akun saya padahal sudah nyusun puzzle utk vertifikasi,__label__1,__label__1 Kenapa saya gak bisa masuk ke akun saya padahal sudah nyusun puzzle utk vertifikasi
Kecewa kepada pihak shopee,__label__1,__label__1 Kecewa kepada pihak shopee
Gratis ongkir nya gak ada,__label__1,__label__1 Gratis ongkir nya gak ada
"Gabisa cheekout , padahal saldo shoppe cukup , tapi tertulis tidak cukup 🤦 gmna ini min tolong dong",__label__1,"__label__1 Gabisa cheekout , padahal saldo shoppe cukup , tapi tertulis tidak cukup 🤦 gmna ini min tolong dong"
"Tarik dana dari shopeepay ke atm lama banget, tinggal transfer aja susah banget",__label__1,"__label__1 Tarik dana dari shopeepay ke atm lama banget, tinggal transfer aja susah banget"
"ongkirnya gak normal banget,mentang mentang di luar pulau jawa,mana minimal belanja gede banget lagi 120rb",__label__1,"__label__1 ongkirnya gak normal banget,mentang mentang di luar pulau jawa,mana minimal belanja gede banget lagi 120rb"
shoppe food promo mulu cuma mahal promo tp harga di aplikasi di naikin sama aja boong udeh gtu aplikasi nya lemot banget,__label__1,__label__1 shoppe food promo mulu cuma mahal promo tp harga di aplikasi di naikin sama aja boong udeh gtu aplikasi nya lemot banget
Aplikasi nya terasa berat,__label__1,__label__1 Aplikasi nya terasa berat
"Ini aplikasi kenapa kok suka kluar sendiri,minta kirim kode otp nya lama amat lagi cocok dah",__label__1,"__label__1 Ini aplikasi kenapa kok suka kluar sendiri,minta kirim kode otp nya lama amat lagi cocok dah"
Kok sekarang sering updatw trus sih aplikasinya.klu g di update g bisa di buka aplikasi nya,__label__1,__label__1 Kok sekarang sering updatw trus sih aplikasinya.klu g di update g bisa di buka aplikasi nya
Tiba2 akun log out sendiri dan susah login kembali padah sinyal juga  tdk ada kendala. Tolong diperbaiki,__label__1,__label__1 Tiba2 akun log out sendiri dan susah login kembali padah sinyal juga  tdk ada kendala. Tolong diperbaiki
SHOPE APK GAJELAS!!!! GUA BELI PAKET DATA DARI KEMAREN AMPE SKRG GAMASUK²!!!!,__label__1,__label__1 SHOPE APK GAJELAS!!!! GUA BELI PAKET DATA DARI KEMAREN AMPE SKRG GAMASUK²!!!!
dahlah unins ajh barang nyampenya lwat dri perkiraan.. padahal status udh dikirim ke alamat.. dan voucher ga bisa bisa buat dipake,__label__1,__label__1 dahlah unins ajh barang nyampenya lwat dri perkiraan.. padahal status udh dikirim ke alamat.. dan voucher ga bisa bisa buat dipake
"Kenapa saat verifikasi wajah setelah login selalu gagal terus,boleh minta solusinya",__label__1,"__label__1 Kenapa saat verifikasi wajah setelah login selalu gagal terus,boleh minta solusinya"
Beli barang pake diskon 30k 1 berhasil 1 gagal padahal beda hp itu juga pertama kali download bukan nuyul,__label__1,__label__1 Beli barang pake diskon 30k 1 berhasil 1 gagal padahal beda hp itu juga pertama kali download bukan nuyul
"aplikasi berak shopee pay later ditolak, padahal data sudah diisi dengan benar",__label__1,"__label__1 aplikasi berak shopee pay later ditolak, padahal data sudah diisi dengan benar"
Daftar spayleter gk pernah di acc.beda sam aplikasi yg sebelah langsung di acc..,__label__1,__label__1 Daftar spayleter gk pernah di acc.beda sam aplikasi yg sebelah langsung di acc..
"Kurirnya lama, kecewa sangat saya, jadi malas belanja di shopee........",__label__1,"__label__1 Kurirnya lama, kecewa sangat saya, jadi malas belanja di shopee........"
"Update aja terus , tapi kalo ngajuin aktivasi shopee pay later gak pernah BISA/BERHASIL gagal Mulu!",__label__1,"__label__1 Update aja terus , tapi kalo ngajuin aktivasi shopee pay later gak pernah BISA/BERHASIL gagal Mulu!"
Lama.kali.nyampe.pengiriman ya bisa sampe 5 hari baru nyampe.ke.kota Medan hm memang gak jelas kali.kurir pengiriman ya,__label__1,__label__1 Lama.kali.nyampe.pengiriman ya bisa sampe 5 hari baru nyampe.ke.kota Medan hm memang gak jelas kali.kurir pengiriman ya
"Perbaiki lagi kalo pergantian jam flash sale mesti down servernya, padahal sinyal  masa mau checkout shopepay gk bisa dipake",__label__1,"__label__1 Perbaiki lagi kalo pergantian jam flash sale mesti down servernya, padahal sinyal  masa mau checkout shopepay gk bisa dipake"
"Kok akunnya bisa ngilang tiba"" ya padahal gak di hapus? Dan susah lagi login nyaa",__label__1,"__label__1 Kok akunnya bisa ngilang tiba"" ya padahal gak di hapus? Dan susah lagi login nyaa"
buka lagi pilihan kurir. saya kecewa dengan pengiriman spxid. sortir kok sampe 20jam,__label__1,__label__1 buka lagi pilihan kurir. saya kecewa dengan pengiriman spxid. sortir kok sampe 20jam
"Ekspedisi shopee espres klau tak mampu dlm pengiriman paket seharusnya alihkan ke ekspedisi yg lain seperti jnt, si cepat Kecewa dgn shopee ekspres",__label__1,"__label__1 Ekspedisi shopee espres klau tak mampu dlm pengiriman paket seharusnya alihkan ke ekspedisi yg lain seperti jnt, si cepat Kecewa dgn shopee ekspres"
Saya beli reskuker 2 kok penyok semua . Saya mintak pengembalian ke pememilik peroduk tidak di respon gimana ini min,__label__1,__label__1 Saya beli reskuker 2 kok penyok semua . Saya mintak pengembalian ke pememilik peroduk tidak di respon gimana ini min
Gw merasa dirugikan sama iklan lu yg merayap ditiap gw buka aplikasi. Merepotkan!,__label__1,__label__1 Gw merasa dirugikan sama iklan lu yg merayap ditiap gw buka aplikasi. Merepotkan!
"Lapor Mohon agar supaya klo pesanan dibatalkan,bisa dibatalkan jangan dipaksa dikirimkan",__label__1,"__label__1 Lapor Mohon agar supaya klo pesanan dibatalkan,bisa dibatalkan jangan dipaksa dikirimkan"
"APLIKASI PAOK, DI PENCET GAK BISA, SEMENJAK MASUK ANDIN SAMA ALDEBARAN MAKIN GK BERES NIH APK , CACAT 👎👎",__label__1,"__label__1 APLIKASI PAOK, DI PENCET GAK BISA, SEMENJAK MASUK ANDIN SAMA ALDEBARAN MAKIN GK BERES NIH APK , CACAT 👎👎"
Driver shopee food 1 minggu terakhir ini pada malas apa gimana ya? Smpe 5x gagal by sistem krna gak nemu driver.,__label__1,__label__1 Driver shopee food 1 minggu terakhir ini pada malas apa gimana ya? Smpe 5x gagal by sistem krna gak nemu driver.
Loding...mw bayar spaylater/spinjam susah'y mnta ampun...klo telat kan yg d denda aq jg pdhl sinyal lg  buka aplikasi lainpun g prng loding...tolong d perbaiki,__label__1,__label__1 Loding...mw bayar spaylater/spinjam susah'y mnta ampun...klo telat kan yg d denda aq jg pdhl sinyal lg  buka aplikasi lainpun g prng loding...tolong d perbaiki
Kenapa ya shope agak aneh. Terus lelet lagi. Membangongkan dah😒,__label__1,__label__1 Kenapa ya shope agak aneh. Terus lelet lagi. Membangongkan dah😒
"Hp root kok gak bisa bos, kemaren bisa, toko yg warna ijo bisa.",__label__1,"__label__1 Hp root kok gak bisa bos, kemaren bisa, toko yg warna ijo bisa."
Gimana sii pesanan saya tidak sampai sampai udah mau 1 bulan!!!,__label__1,__label__1 Gimana sii pesanan saya tidak sampai sampai udah mau 1 bulan!!!
saya top up gak masuk masuk sudah 4 hari laporan hanya di suru menunggu ni aplikasi gak bijak,__label__1,__label__1 saya top up gak masuk masuk sudah 4 hari laporan hanya di suru menunggu ni aplikasi gak bijak
"MASA PRUSAHAAN BESAR KAYA MALING, PENAGIHAN SPYLATER DILUAR KONTAK DARURAT, AMBIL KONTAK PENGGUNA SHOPEE SEENAKNYA. MACEM ILEGAL AJA, BIJAK DIKIT LAH, JADI NYESEL GUNAIN NI APLIKASI!!!!!",__label__1,"__label__1 MASA PRUSAHAAN BESAR KAYA MALING, PENAGIHAN SPYLATER DILUAR KONTAK DARURAT, AMBIL KONTAK PENGGUNA SHOPEE SEENAKNYA. MACEM ILEGAL AJA, BIJAK DIKIT LAH, JADI NYESEL GUNAIN NI APLIKASI!!!!!"
Maaf ya buat agen shope Saya memesan barang tapi yang di kirim nya salah mohon bantuan,__label__1,__label__1 Maaf ya buat agen shope Saya memesan barang tapi yang di kirim nya salah mohon bantuan
Apk nya jelek sekali kenapa saya sudah membeli akun ff di Shopee gak bisa logind nyesel saya membeli akun ff di Shopee saya disini hanya saya membeli pakaian aja gak beli akun ff,__label__1,__label__1 Apk nya jelek sekali kenapa saya sudah membeli akun ff di Shopee gak bisa logind nyesel saya membeli akun ff di Shopee saya disini hanya saya membeli pakaian aja gak beli akun ff
"Shopee makin lama makin ga jelas,kembalikan shopee yg dulu",__label__1,"__label__1 Shopee makin lama makin ga jelas,kembalikan shopee yg dulu"
Akun tiba2 di blok... Enggak asik nih sekarang beda sama aplikasi yg lain...,__label__1,__label__1 Akun tiba2 di blok... Enggak asik nih sekarang beda sama aplikasi yg lain...
"Shopee food makin lama ko makin ga gelas untuk vocernya harus klaim.dulu , klo ngasih promo jgan nanggung² . percuma insentif naik klo ga ada promonya",__label__1,"__label__1 Shopee food makin lama ko makin ga gelas untuk vocernya harus klaim.dulu , klo ngasih promo jgan nanggung² . percuma insentif naik klo ga ada promonya"
"Shopee payah, sudah melakukan transaksi masih tetap saja dianggap belum bayar",__label__1,"__label__1 Shopee payah, sudah melakukan transaksi masih tetap saja dianggap belum bayar"
SHOPEE BANYAK DISKON TAPI BANYAK NIPUNYA GAK ADA ONGKIR DAN DISKON DAPAT DI PAKAI....JANGAN PERCAYA SHOPEE BANYAK NIPUNYA KALAU DISINI SAYA BISA KIRIM FOTO BANYAK YG MAU SAYA KIRIM KERJAAN SHOPEE NIPU NIPU ANAK BANGSANYA SENDIRI alasannya cuman retur Shopee Bisa NIPU ANAK BANGSANYA SENDIRI,__label__1,__label__1 SHOPEE BANYAK DISKON TAPI BANYAK NIPUNYA GAK ADA ONGKIR DAN DISKON DAPAT DI PAKAI....JANGAN PERCAYA SHOPEE BANYAK NIPUNYA KALAU DISINI SAYA BISA KIRIM FOTO BANYAK YG MAU SAYA KIRIM KERJAAN SHOPEE NIPU NIPU ANAK BANGSANYA SENDIRI alasannya cuman retur Shopee Bisa NIPU ANAK BANGSANYA SENDIRI
"Shopee benar benar buruk, kenapa akhir akhir ini shopee jadi lemot bgt ya.",__label__1,"__label__1 Shopee benar benar buruk, kenapa akhir akhir ini shopee jadi lemot bgt ya."
Kenapa ya akun paylater saya dibekukan? Menghubungi cs nya juga gimana ya?,__label__1,__label__1 Kenapa ya akun paylater saya dibekukan? Menghubungi cs nya juga gimana ya?
"Tiap hari dpt vocer harian gratis ongkir,giliran d pakek gk bsa,gmna si,gaje betul",__label__1,"__label__1 Tiap hari dpt vocer harian gratis ongkir,giliran d pakek gk bsa,gmna si,gaje betul"
"Mungkin karna hp saya yg kentang, Apk shopee jadi ga berjalan dengan baik.",__label__1,"__label__1 Mungkin karna hp saya yg kentang, Apk shopee jadi ga berjalan dengan baik."
Kenapa spaylater tidak dapat digunakan untuk beli pulsa dan sejenisnya...?,__label__1,__label__1 Kenapa spaylater tidak dapat digunakan untuk beli pulsa dan sejenisnya...?
Karna susah login gua kasi bintang sesuai masalah yg gue alami harus verifikasi wajah sih tapi gagal mlu hdeh,__label__1,__label__1 Karna susah login gua kasi bintang sesuai masalah yg gue alami harus verifikasi wajah sih tapi gagal mlu hdeh
Produk dihapus dengan alasan memakai halaman lama pd hal dri awal udh pake produk tersebut,__label__1,__label__1 Produk dihapus dengan alasan memakai halaman lama pd hal dri awal udh pake produk tersebut
"Shoppe kenapa gk bisa download ya, sekarang mah sudah beda",__label__1,"__label__1 Shoppe kenapa gk bisa download ya, sekarang mah sudah beda"
"Tidak sesuai sama pesanan,,pesan mobil remot control yang datang sendal...",__label__1,"__label__1 Tidak sesuai sama pesanan,,pesan mobil remot control yang datang sendal..."
Udah chat cs masih eror eror Sama voucher banyak yang ga bisa digunakan,__label__1,__label__1 Udah chat cs masih eror eror Sama voucher banyak yang ga bisa digunakan
Suka boong kalo ada vocer makanan,__label__1,__label__1 Suka boong kalo ada vocer makanan
"Asli dah y knp shopee g kyk dlu lagi, skrg voucher nya g bisa kepake ck. Mls",__label__1,"__label__1 Asli dah y knp shopee g kyk dlu lagi, skrg voucher nya g bisa kepake ck. Mls"
Aplikasi nya jelek .............................................................................................................................................................................................................................................................................................................................................................................................................. tapi boong ya  bngt covernya banyak cuyy,__label__1,__label__1 Aplikasi nya jelek .............................................................................................................................................................................................................................................................................................................................................................................................................. tapi boong ya  bngt covernya banyak cuyy
"Di wa ga di bales, sok seleb makanya ku kasih bintang 1 Tydack ramah",__label__1,"__label__1 Di wa ga di bales, sok seleb makanya ku kasih bintang 1 Tydack ramah"
Kenapa ya di Shopee ku ga ada voucher gratis ongkir nya😌 Padahal sebelum nya selalu ada😌,__label__1,__label__1 Kenapa ya di Shopee ku ga ada voucher gratis ongkir nya😌 Padahal sebelum nya selalu ada😌
"Makin hari ongkirnya mahal,, jdi males mau cek out.. Ongkirnya separo harga, tolonglah turunin ongkirnya min",__label__1,"__label__1 Makin hari ongkirnya mahal,, jdi males mau cek out.. Ongkirnya separo harga, tolonglah turunin ongkirnya min"
Promo promo giliran di top up pin promonya ga bisa dipakek alasanya udah pernah di pakek padahal belom pernah pesan apapun MENGECEWAKAN,__label__1,__label__1 Promo promo giliran di top up pin promonya ga bisa dipakek alasanya udah pernah di pakek padahal belom pernah pesan apapun MENGECEWAKAN
"Ini kalau daftar kok ada puzzle nya, Udah d geser-geser gk bisa, Bikin emosi aja",__label__1,"__label__1 Ini kalau daftar kok ada puzzle nya, Udah d geser-geser gk bisa, Bikin emosi aja"
"Tolong perbaiki sistem nya ya, Kenapa jadi susah login !!??",__label__1,"__label__1 Tolong perbaiki sistem nya ya, Kenapa jadi susah login !!??"
Pilihan ekspedisi tolong dimasukin lagi lah. Masa pake j&t seminggu di drop point ga dikirim2 kek ajgg..,__label__1,__label__1 Pilihan ekspedisi tolong dimasukin lagi lah. Masa pake j&t seminggu di drop point ga dikirim2 kek ajgg..
"Kenapa shope sekrng ke log in,mau login lagi verifikasi puzel teruss saldo Sama koin saya barang"" saya yang ada dikeranjang :)kecewa bngt sama shopee sekrng,member gold kesekian kalinyaa:)",__label__1,"__label__1 Kenapa shope sekrng ke log in,mau login lagi verifikasi puzel teruss saldo Sama koin saya barang"" saya yang ada dikeranjang :)kecewa bngt sama shopee sekrng,member gold kesekian kalinyaa:)"
"Gak. Ada apa""akun saya di bekukan hadew beneran lah jadi gak bayar shopee later nya",__label__1,"__label__1 Gak. Ada apa""akun saya di bekukan hadew beneran lah jadi gak bayar shopee later nya"
Aplikasinya makin gak jelas,__label__1,__label__1 Aplikasinya makin gak jelas
"Aplikasi aneh baru download langsung di bekukan akun nya, ke tambah ordernya dibatalkan",__label__1,"__label__1 Aplikasi aneh baru download langsung di bekukan akun nya, ke tambah ordernya dibatalkan"
di aplikasi ini kebanyakan pnipu. bulan2 ini saya sudah 2 kali tertipu beli barang,__label__1,__label__1 di aplikasi ini kebanyakan pnipu. bulan2 ini saya sudah 2 kali tertipu beli barang
"Punya saldo shopay 108k mau checkout belanjaan 105k gak bisa pake voucher gratis ongkir, padahal dah jelas2 saldo shopay mencukupi",__label__1,"__label__1 Punya saldo shopay 108k mau checkout belanjaan 105k gak bisa pake voucher gratis ongkir, padahal dah jelas2 saldo shopay mencukupi"
Untuk app belanja aja memakan ruang penyimpan 1GB hadeh,__label__1,__label__1 Untuk app belanja aja memakan ruang penyimpan 1GB hadeh
"Akun sudah mau dinonaktifkan, dana penjualan masih ga cair2 udah seminggu. Kapok udah",__label__1,"__label__1 Akun sudah mau dinonaktifkan, dana penjualan masih ga cair2 udah seminggu. Kapok udah"
Jelek... sering nge-lag. Akun tiba-tiba kehapus. Menyebalkan.,__label__1,__label__1 Jelek... sering nge-lag. Akun tiba-tiba kehapus. Menyebalkan.
saya mau pesan barang yang saya sudah cekhin tapi ga bisa ga jadi jadi bikin kesel,__label__1,__label__1 saya mau pesan barang yang saya sudah cekhin tapi ga bisa ga jadi jadi bikin kesel
Shoopy apa bener akukan cari HP murah terus aku lihat ada HP hargaya 10.000 samsung Galaxy misteri box HP sepesial awal tahun apa bener jelasin dong shoopy,__label__1,__label__1 Shoopy apa bener akukan cari HP murah terus aku lihat ada HP hargaya 10.000 samsung Galaxy misteri box HP sepesial awal tahun apa bener jelasin dong shoopy
Penarikan dana dari saldo shopee ke rekening sy udh 1x24jam... Blum berhasil aja...,__label__1,__label__1 Penarikan dana dari saldo shopee ke rekening sy udh 1x24jam... Blum berhasil aja...
