reviews,label
"Sangat membantu utk belanja online.  Tp sy beri binatang 3 krn ada pngalaman belanja kurang 1 item.  Sy sdh menghubungi penjual & pihak shopee tp tdk ada solusi & uang tidak kembali.  Saran saya, shopee buat suatu menu utk penjual yg fungsinya utk mempermudah controling barang yg dipesan & barang yg akan dikirim apakah sudah sesuai agar meminimalisir case seperti sy.  Sy akn terus belanja di shoopee.  Jika sy rasa sdh ada perubahan saya akan ganti ke bintang 5.  Mudah2an jd bahan koreksi utk shopee",__label__3
"Jangan asal tarik saldo,  saya itu bayar sesuai,  malah di bilang kelebihan topup",__label__5
"Tambah lelet ya, berat",__label__1
Kurirnya kurang profesional,__label__1
Kata nha gratiss ongkirr....tapi gak bisa dipake..,__label__1
  puas,__label__5
aplikasi olshop dgn pengiriman terlama,__label__1
"Aku sih selama ini happy2 aja pakai Shopee tapi kendala saat ini yg biasanya banyak pilihan ekspedisi untuk pengiriman skrg hanya ada dua yg bisa di klik di beberapa toko yaitu reguler dan kargo kemana ekspedisi ID express, Si cepat, Jnt dan yg lainnya?",__label__3
Saya ksih bintang satu saya kecewa karena saya pesan di shopee gak nyampe tapi keterangan di aplikasi barang sudah sampe tujuan dan sudah di terima padahal saya belum menera apa pun dan dari Poto yang menerima adalah kurir itu sendiri dan pesanan saya sudah di bayar jadi saya mohon pihak shopee untuk mengurusnya krna bukan masalah harga atau uang brapa TPI soal ke nyamanan mohon tindak lanjuti,__label__1
Saat pandemi sulit kluar blanja cukup dari rumah pesann lngsung diantar sampek depan rumah.  Terimakasih smua.  Trus tingkatkan lg reward2nya gratis ongkirnya jg banyak banget loh,__label__5
Dear admin.  Tolong tambahkan deskripsi berat barang pada aplikasi shopee untuk memudahkan kalkulasi ongkos kirim.  Karena banyak ditemui seller nakal menjual harga murah dengan ongkir super mahal.  Buyer hanya bisa mengetahui beras berat setelah cekout.  Trims,__label__3
Banyak toko online yg saya ikuti disini allhamdullillah amanah barang juga sesuai dgn pesanan. ,__label__5
"sampah, narik shopee pay lama nya minta ampun",__label__1
selalu yg terbaik buat shopee. sukses selalu. ,__label__5
"Seller nakal msh berkeliaran ngadu ke shopee malah angkat tangan.  G da solusi bagus buat pembeli.  D shopee seller adalah raja.  Pembeli hrs xtra hati"" dan jeli baca detil s&k kl g mau kena jebakan betmen. ",__label__3
"Semenjak diperbaharui kenapa jadi gabisa dipakai ya? Yg harusnya bisa pakai shopee pylater setiap mau bayar gabisa, tulisannya selalu aplikasi telah berhenti, begitu terus, bisa dibantu?",__label__1
Hanya bagus sebagai bahan referensi harga barang di pasar on line.  Pengiriman barang oleh penjual dari luar negeri tidak konsisten maupun transfer dana shopeepay ke rekening bank terlalu ruwet dengan alasan demi keamanan. ,__label__3
Di jamin gkan nyesel belanja d shopee. yg pnting blnja apapun chat dulu sama penjualnya. dan lihat komen2 org. shopee good pokoknya😘😘,__label__5
"Pokoknya saya senang belanja di shopee,  lebih percaya aja",__label__5
"Saya suka belanja disini,  barang selalu sesuai pesan",__label__5
Aplikasi bagus.  Tapi sayank sopehepay later ku masih sedikit. padahal aku lama. ,__label__5
"Pelayanan bagus.  Cuma untuk kepercayaan Shoope paylater ditingkatkan lagi.  Kita sbg Freelancer, gajian nunggu pihak network untuk transfer.  Jadi kalau sdh jd member lama shoope g usah hawatir.  Walaupun telat InshaAllah Pasti kita bayar",__label__3
"Shope nya ok, tapi kurir nya kalo JNT skr payah, paket lama sampae bahkan ngg jarang dibatalin sepihak oleh kurir,,,",__label__1
Kok sekarang shopee mkin mahal ongkirnya.  Dia blng gratis ongkir min pembelian 0 rupiah.  Ternyata tdk cmn potongan 20 rb msih msih mahal ongkirnya.  Lebih bguskan saya rasa kalau potongan 80 min pembelian 200 rb.  Ini udah beda.  Udah di tunggu2in dikiranya banyak promo tangga 2. 2 pas di cek sama aja.  Susah ia skrng shopee,__label__3
Aplikasi ny buruk skali,__label__1
"Mantap jiwa shopee ,  gara2 ada anda saya jadi banyak pengeluaran wkwk 😅",__label__5
"Untuk verifikasi akun jika ganti ke hp baru susah harus verifikasi wajah dan selalu gagal "" Tidak ada arahan jika gagal verifikasi wajah "" mohon pihak shopee untuk update verifikasi keamanan yang mudah tapi tetap aman. jika tidak bisa verifikasi akan sulit memantau orderan yang masuk",__label__1
"shopee sekarang curang ya,sbelum cek out biaya penanganan di spaylater cuma 300an eh tau2 pas lihat tagihan bulan depan biaya penanganan jadi 1000an lebih oh bgtu ya caranya,kok skrang shopee kya gitu kesanya gk amanah padahal saya pengguna shopee dr awal shopee ada sejak 2016an kcewa sih gk konsisten",__label__1
  ongkir mahal bangat benci,__label__1
"Kalo ngadain event yg benerlah min, kek ga niat bgt",__label__1
"Maaf kak admin, ini kenapa ya? Kadang tiap buka shopee pasti lelet, walaupun ga terlalu sering sih. . .  tapi jujur saya terganggu kak dengan hal ini. . .  mungkin kedepannya bisa diperbaiki, atau kaka bisa ngasih saran ke saya untuk ngapain gitu, supaya ga suka lemot""an lagi kak. . .  trima kasih. . . ",__label__3
"Kenapa saat download ulang, hanya mentok di 73 persen. .  Saya udah lama instal shoppe, ketika saya sedang melihat perbelanjaan, tiba2 akun saya keluar dan tidak dapat untuk masuk kembali. .  Tolong penjelasan nya",__label__3
Shope please.  Bebaskan kami untuk bisa memilih ekspedisi sesuai keinginan kami.  Jgn cuma reguler dan hemat aja.  Katanya juga bisa di ganti.  Tpi nyata nya ga bisa.  Dan untuk voucer gratis ongkir kenapa skrg ga bisa di gunakan.  Sedih bgt.  Padahal udan member platinum.  Dan hampir tiap aku selalu cek out 😭😭,__label__3
Aplikasi ini bagus apapun yang kita butuh kan ada di shopee tapi. .  Katanya gratis ongkir atau potongan harga ongkir ini. .  Soalnya tetap masih bayar ongkir.  Na lah katanya gratis. .  Gratis ma nggak bayar,__label__3
   gratis ongkir nol rupiah ongkir gratis diskon doang,__label__3
"Min. .  Ak baru aja ubah no baru krn coba shopee pay later, ak lg unggah dok, kok tiba2 keluar dan malah jd gk ada nama akun ku.  Ak buka shopee malah suruh daftar / log in? Kenapa min??? Koin yg ku kumpulinkan lumayan. ",__label__3
Anjing iklan wae ker maen teh,__label__1
  coba aktif spaylater selang menit baned check out barang alamat akun ku hilang alamat gimana minimal tolong baik,__label__3
Belanja di shopee nyaman,__label__5
"Awalnya aplikasinya enteng masih lancar, sekarang banyak update makin gede tiap kali update, udah gitu kalo ga di update ngebug di pencet pencet susah, padahal sering top up shopeepay :( terpaksa HP kentank makin terbebani dan menghapus aplikasi yang lain demi aplikasi ini :""(",__label__3
D update malah mkin parah lemot gabisa d buka hah payah,__label__1
Bintang 5 karena udah gk lemot bgt,__label__5
Mau login trus di suruh verifikasi puzzle tapi gak selesai² padahal udah geser beberapa kali loh😌☹️,__label__1
Selalu puas semoga tetap menjaga kualitas original dan amanahnya,__label__5
"Sekarang shopee mahal.. dulu aja banyak gratis ongkir, lah sekarang mehong",__label__1
suka nonaktifkan akun sembarangan padahal ponselnya juga baru pertama kalinya donlot shopee pesanan saya gmna udah dibayar pake shopeepay,__label__1
setelah beberapa kali belanja sy mulai merasakan kekurangan contoh. . . barang yg di pajang n yg di tulis di deskription ga sesuai n baru2 ini sy pesan baju brandeet kt nya baru sisa export harga murah dateng nya baju bekas warna dah kusam tlg dong dibenahi supaya konsumen tidak merasa di tipu n klaim gratis ongkir nya susah amat padahal seneng banget ada gratis ongkir n bs cod,__label__3
Apk ini bisa beli akun ff yang murah!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Opo ono opo oon,__label__3
"Shopee sekarang yg pilih jasa kirimnya. . menurutku itu ribet sih & malah bingung bagi yg ga paham kasian, mending kaya dlu bisa milih, sekarang reguler. . mana kemaren saya ada 2 pesanan yg ga bisa dirubah jasa kirimnya , yg baru prtama sya nyoba beli bisa dirubah jasa kirim nah pesanan ke 2 ke 3 hari berikutnya ga bisa dirubah, ntah knp shopee padahal tetep aja kdang ada yg lelet pengirimannya jasa kirim yg dipilih shopee. . ",__label__3
Barang lama d kirim dri transit gk mju2,__label__3
"Terima kasih shopee ,  terutama untuk gratis ongkirnya , saya jadi seneng blanja d shopee. ",__label__5
Hallo Min Saya mau bertanya bagai mana ini caranya mengaktifkan shopeepay di shoppe saya Mohon bantuannya terimakasih 🙏,__label__5
Selama belanja di Shopee barang yg diterima gak pernah  ,__label__5
Oke sering bebas ongkir,__label__5
Penanganan Complaine terlalu lambat .. Dan Harus menunggu 3 - 5 Hari kerja Brand sebesar shopee,__label__1
Ksih bintang 1 karna udah 3x shopeefood alamat sama titik gapernah sesuai sama alamat penerima jdi bkin driver nyangsang,__label__1
Penjualnya tolong yg jujur aja,__label__5
Belanja bisa mudah dan gampang,__label__1
"Tak ada kendala dalan pelayanan,  tingkatkan lagi dan semoga sukses trus",__label__5
Lama dalam proses penarikan dana ke rekening atm.,__label__1
Apk yang paling enak belanja online,__label__5
Cuma beberapa hari langsung sampe donk keren banget mana COD lagi wah ini baru apk keren,__label__5
Tulisan ada stok trus kita transaksi di bilang stok habis.  Kenapa harga barang yg sama kadang lebih mahal dr toko online lain?,__label__3
Gimana ini thh soppe suka salah kirim kirim terus nunggu lamaa huhh gimana,__label__1
Masih Termahal ongkirnya Pesan barang 26pcs total ongkir 270.000 Jadi 1 barang di beban 10.000,__label__1
"Aku.  Kasi bintang 3 dlu ya kk Oya aku mau tnya cara psanx gimana ya ,soalx aku dlu sempet download aplikasi shopee ,tpi aku hapus lagi soalx aku mau psan barang dlu pas udah kekeranjang katanya masukin kode pos, itu gmna ya kk caranya mohon dijawab ya kk",__label__3
"Kita lebih mudah berbelanja dan dapat barang yang berkuwalitas,  terima kasih",__label__5
"aplikasi bagus & membantu sekali,  tpi ongkir ny skrg mahal bgt 😢",__label__5
"Saya Suka Belanja Di sini, Tp kenapa sewaktu mau Kirim Faktur pembelian setelah di Cek Di Email masuk/spam faktur tidak Masuk, padahal Email Sudah Di Verifikasi, dan ketika di Verifikasi Ulang ada masuk email dr Shope untuk verifikasi, tp faktur pembelian malah tidak masuk, amat sangat disayangkan",__label__3
Sumpah ya kali ini kecewa banget sama kebijakan shopee yg baru.  Rasanya bukan mempermudah malah semakin mempersulit konsumen.  Kebijakan yg dulu udah bagus kenapa di rubah sih.  Aku nggak kasi bintang 1 karena dulu pernah nyaman banget pake shopee sebelum ada kebijakan yg baru ini.  Sekedar saran supaya shopee di minati kaya dulu mending balikin aja kaya kebijakan yg sebelumnya. ,__label__3
"akses lambat , sulut untuk searching produk .free ongkir setenah hati",__label__1
  belanja  kendala lancar kadang bingung kirim pakai  express standard kurir pakai lacak,__label__3
"Saya coba pinjam di shopee pay later, saya udah ngisi data semuanya tpi ga di acc, tolong ya data saya jangan di salah gunakan, tkutnya di salah gunakan kaya apk sebelah baca komennya banyak yang kecewa, kalau ada apa apa dengan data saya atau ada yang mengajukan atas nama saya sya tidak bertsnggung jawab soalnya saya tidak di acc di shopee pay latwr. Makasih",__label__1
"Maaf kak mau tanya kenapa pas saat saya mau buka profil shopee saya ada tulisan ""fitur ini belum tersedia"" padahal sebelum ada pembaruan apk shopee, shopee saya lancar² aja mohon diperbaiki",__label__3
Logout sendiri masuk lagi susah astaghfirullah,__label__1
Spyleater nya kembali normal sesuai janji bintang full buat shopee terima kasih,__label__5
"Kecawa bgt, sekarang top up ga masuk diperibet. Gratis ongkir cashback juga jrg ada minimal, diperbaikin LG sistemnya. Hati2 para pengguna pindah ahli aplikasi lain",__label__1
UI nya nge-lag banget,__label__1
"Jika kalian mau instal ni apk, aplikasi ini hanya merugikan kita saya kecewa sekali saya cuma mengganti pasword cuma karna ganti pasword di tempat yang bukan kota ku asal, langsung akun saya di nonaktifkan oleh pihak shopee, rugi banget saldo saya yang masih ada baru aja di isi cuma ganti pasword haram tuh akun orang di nonaktifkan ada uangnya dosa kalian pihak shopee haram hukum nya",__label__1
G jelas harga produk nya,__label__3
"Aplikasi ngelag, pindah tokopedia aja",__label__1
Aplikasi belanja favorit,__label__5
sudah 4th pake aplikasi ini.  mantab 👍,__label__5
  voucer pakai guna,__label__3
Adakah apk shopee khusus penjual ?,__label__3
"Sangat membantu kebutuhan sehari""",__label__5
Kenapa sekarang aplikasi shopee ga bisa dibuka padahal ada pesanan mau dikrm dan ada pesanan blm dikonfirmasi. ,__label__3
Penjual harus cek satu persatu barang yang akan di beli biar tdk ada ksalahan dan barang rusak dan pengemasannya harus bnar² tebal dan bagus dlm pengiriman biar si membeli menerima barang dgn baik gak kecewa saat membeli .  👌👌👌,__label__3
Shopee ko jadi lemot banget sih. ,__label__5
Tolong lah jngn dikit2 di update.Hp jd lemot,__label__1
Shopee expres pengirannya buruk sekali lama banget beda dengan expedisi lain,__label__1
Saya kecewa sama kurir2 nyh padahal saya udah bertahun2 langgann blnja di shoppe .. tpi kurir nyh gak ada yg ngnterin paket sampe kerumh . Bahkan cod pun di titip2in k warung org trs mnta di talangin org lain tanpa ijin dari saya . Bikin malu saya d kira nyh saya yg nyuruh .. aplgi klo bukan cod padahal saya lagi hamil di rumh gk ada siapa2 tapi di suruh ngambil paket k depan gang malam2 . Saya blnja online biar memudahkan bisa di anter kerumah apalgi dngn keadaan saya yg lagi hamil ..,__label__1
Kualitas barang lumayan bagus harga murah meriah krna saya juga driver Shopee food jdi bkalan beli d Shopee blanja online g bkalan ke toko online yg lain,__label__5
Kecewa banget dengan shopee,__label__1
Bagus bgt barang nya sesuai apa yg kita harapkan jadi jangan ragu lagi belanja di shoppe,__label__5
"shoope sekarang tambah bgus,  dari dlu sih udah pake shoope terus lanjutkan untuk meningkatkan kualitas 🥰",__label__5
"Sebaiknya utk pilihan ekspedisi pengirim dikembalikan seperti semula.  Kalo sekarang yg ditampilkan cuma tarifnya aja tp nama ekspedisinya tidak dicantumkan , ketika memilih tarif , ternyata si ekspedisinya tdk sesuai dg harapan.  Mohon perhatiannya. ",__label__3
"Lah kok ini aplikasi shopee ada 2 ya, awal nya saya bukan install yg ini.  Tapi yg satunya, apa ada duplikat apps gtu atau bagaimana? Saya takut aplikasi yg satunya itu fake apss atau physing apps. . ",__label__3
"Good very good ,  semua fasilitas memudahkan dan sangat membantu ,  terima kasih shopee",__label__5
Barang suka penipuan dan ga asli ori dari mereknya,__label__1
Belanja di shopee mantap semua yang di perlukan ada disini .  senang sekali belanja di sini👍👍👍,__label__5
