label,review
__label__1,Iya kalah sama startup kecil.  Sangat disayangkan sekali perusahaan besar seperti shopee pelayanan buruk.  Bukan memudahkan malah menyulitkan.
__label__1,Payah!  Padahal itu tiket yang kelola shopee sendiri tapi pelayanan sangat buruk.  Saya sangat kecewa.
__label__1,hadeh shopee pelayanan buruk bgt
__label__1,"  Cukup pertama dan terakhir kali gw pake shopee buat beli kuota,  sudah bermasalah,  pelayanan buruk @ShopeeCare @ShopeeID  minta chat dm tapi ga dibales sama skali PHP banget, asal formalitas"
__label__1,Janji doang selesai dalam - hari kerja ta sampai bulanan juga masih belum direfund. Jadi kapok belanja di shopee lagi kalau kayagini. Olshop terkenal tapi pelayanan buruk. Mengecewakan!
__label__1,Gw  hari baru mpe.  Gw maki lapak.  Gw komplen ke cs shopee .  Tapi si cs  bodo amat.  Pelayanan buruk
__label__1,Buruk bgt ini pelayanan shopee dari kemarin gak ada respon sama sekali.  @ShopeeID @ShopeeCare
__label__1,"  Parah bgt,  semakin buruk pelayanan. . sudah gak seperti shopee dulu terlalu banyak kebijakan"
__label__1,@ShopeeID baru kalo ini saya kecewa dengan shopee.  Tiba secara sepihak pesanan saya dibatalkan oleh seller dan chat saya di block.  Padahal star seller tapi buruk bgt pelayanan.
__label__1,"  @ShopeeCare @ShopeeID shopee mending gk usah kerja sama lg sama @jntexpressid pelayanan buruk bgt sumpah.  Paket  hari gk smpai,  complain via twitter nggak dibalas.  Complain via tlpon gk diangkat  :  ) "
__label__1,kenapa saya kirim email ke shopee gak dibalas ya ?  kenapa shopee pelayanan buruk sekali gak seperti biasa
__label__1,"  Masih min,  belum mpe Indonesia barang.  Cs Shopee respon lambat,  pelayanan buruk sekali"
__label__1,"  besok* lagi gak usah gunain shopee untuk bayar*,  payah,  pelayanan jelek bgt"
__label__1,"  GAUSAH NGASIH TAU HAL YG UDH PASTI DIMANA SELLER NGERTI NYURUH BUYER CONFIRM HAHA!  Gak bisa gitu dong,  masa ngandelin customer konfirmasi?  Biasa kan masuk otomatis dana kalo udh xjam Di ecommerce lain,  masa shopee begini pelayanan! ?  Payah banget.  Udah di DM EMAIL. "
__label__1,@ShopeeID sengaja nih pesenan nggak diproses.  .  Pihak Shopee dan Seller  pelayanan Payah. .  Tidak menghargai konsumen. .
__label__1,"  @ShopeeID shopee pelayanan parah banget ya :  )  meskipun yang report dan yang udah jadi korban ditipu banyak bgt dari  toko,  tapi malah tutup mata dgn blg ""coba di chat dulu penjual"" PDHL DAH JELAS BGT PENJUAL NIPU,  BACA DONG REVIEW TOKO   :  )  )  buat apa ada review klo gt. "
__label__1,Ini shopee kenapa sih beli token listrik aja masuk  lama bener!  Parah deh @ShopeePay_ID @ShopeeID kecewa bgt sm pelayanan
__label__1,"  Malah fokus ke penggaetan Bintang iklan yang menurut gue ga penting / terlalu berlebihan.  Semoga ini jadi tamparan keras buat shopee agar segera memperbaiki pelayanan.  Sudah banyak yg dirugikan :  Seller,  biaya admin tinggi Buyer,  UI parah Kurir,  gaji rendah Terus berharap apa? "
__label__1,"  ngasih info aja gak bisa,  punya wa bisnis dibalas pun gak,  dm ig juga skrg gak pernah dibales,  chat shopee gaada tanggapan.  Buruk banget pelayanan,  aku dah cukup sabar  bulan kirain bakalan dikirim ternyata malah begini.  Bikin ice mochi,  kapok parah,  nyesal ga minta refund. "
__label__1,"  Sama om,  standar packaging dri shopee ibox jg sama aja.  Kualitas pelayanan jg parah.  Beli case Spigen salah kirim warna aja urus dan investigasi lama bgt.  Smpet ngeyel jg cs ,  masa warna di dus dibilang beda,  tapi dalem sama dgn yg dipesan. "
__label__1,"  Shopee express emang parah banget pelayanan,  saran aja lain kali ga usah pake shopee express"
__label__1,"  Sebel banget parah,  pake shopee express dari tgl  paket ga jalan.  Di komplain lewat twitter sama chat baru gerak.  Kalian mending jangan pake ini ekspedisi.  Pelayanan jelek banget!  @ShopeeCare @ShopeeID"
__label__1,Min @ShopeeCare tolong paket saya dari tgl  stuck di satu tempat.  Pelayanan parah bgt ya pake shopee standar express :  )  )  biasa pake yg lain - hr juga udah mpe :  )  )
__label__1,Merek terkenal tapi ko pelayanan gak bagus.  Alhamdulillah sempet mau beli samsung pas diskon di shopee tapi gak jadi .  Ternayata pengiriman kasih hp yang udh rusak parah
__label__1,"  Parah sih.  Gak bakalan lagi pake shopee express minus bgt pelayanan,  bikin kapok ya kak"
__label__1,sampai skrg jg gak bs? ?  shopee parah pelayanan jelek sekali!
__label__1,"  Parah ini emang @ShopeeCare @ShopeeID DM saya aja ga di respon cuma yang lain di respon,  kan t*iik!  Ini pesanan saya dari hari yang lalu menunggu penjadwalan ga berubah,  Ga bagus pake Shopee Express mau yang someday sama standard pelayanan sama aja! "
__label__1,"  @ShopeeID KECEWA BERAT SAMA SHOPEE!  PADAHAL UDAH JADI LANGGANAN APP BELANJA DARI JAMAN SEKOLAH DAN BARU KALI INI BENER BENER DIKECEWAIN SAMA PELAYANAN,  PARAH BANGET SI : ' ( "
__label__1,"  Parah bgt,  semakin buruk pelayanan. . sudah gak seperti shopee dulu trlalu bnyk kebijakan"
__label__1,"  shopee food flop.  pelayanan jelek banget,  kurir juga sama. "
__label__1,Baru kali ini belanja di shopee tapi pelayanan jelek begini.  Pesen dari tanggal  baru di konfirmasi tanggal  baju stok habis yang seharus di jadwal dikirim sebelum tanggal .  Padahal shopeemall tapi pelayanan buruk!
__label__1,Shopee express jelek bgt pelayanan
__label__1,kesel banget shopee flop biaya admin makin tinggi pelayanan jelek
__label__3,Shopee pelayanan jelek bgt anjir skrg tapi barang tuh bagus dan murah :  (
__label__1,shopee makin jelek aja pelayanan gaes apalagi shopee express.  paket diketerangan diterima oleh pak arif family member.  jelas dirumah ga ada nama arif dan paket tdk saya terima
__label__1,Shopee skrg udh jelek bgt ya pelayanan?  Udh lama bgt ga pake
__label__1,"  @ShopeeCare halo,  sejak jasa kirim gabisa dipilih jan jadi jelek dong pelayanan.  bisa pilih berubah knp ga bikin pop up pas ada barang dikemas cuma kasih info lewat notif.  ga semua ngebaca notif coy.  sengaja ya biar default shopee express? caricuan ga gitu amat kali"
__label__1,"  shopee express nih anjg sekali ya.  lama banget sumpah.  tapi opsi cuma itu doang ga bisa pake jnt.  seengga kalo mau maksa orang pake jasa lu please benerin lah.  jangan udah maksa,  jelek pula pelayanan"
__label__1,"  Plis lah diperbaiki pelayanan,  ga sedikit loh org yg kecewa.  Aku aja gr lupa kalo sistem shopee berubah jdi ga keburu ganti jasa pngiriman maka ini yg kepilih.  Pliss lah tolongbanyakbnget review jelek di hampir semua sosmed,  ada yg sampe berbulan ,  paket sar,  g jls"
__label__1,"  Iyaa,  ga ngerti aku juga kenapa gagal terus.  Shopee makin sini makin jelek pelayanan :  ( "
__label__1,Gedek bgt sm seller shopee udh ngirim barang salah pelayanan jelek bgt admin bales chat lama bgt udh gt bales chat gak sekalian gt tp ditunda tipe seller kek gini bikin gw males belanja ke toko
__label__1,"  Id express,  gausah coba shopee express soal bener” jelek pelayanan pengantaran lama trus kurir kurang sopan jg"
__label__1,"  Ini seller shopee bgst bgt gue pesen dr jumat,  dichat fastres tp g dikirim- kirim trs gue tny lg hr ini ktny ""sabtu mgg libur kak"" anjing jelek bgt pelayanan gue pesen dr jumat g dikirim sialan giliran skrg alasan tutup anjg"
__label__1,"  shopee makin kesini makin jelek bgt pelayanan- _-  gratis ongkir sepuas tapi batas limit checkout cuman sekali,  udah tahan- tahan bgt momarah semenjak subsidi ongkir makin diperkurang tapi dikasih ""gratis""-  masih dipakai. "
__label__1,pesanan saya dari shopee udah x jam stuck di cilandak .  Saya baca review kalo jnt cilandak  JELEK BANGET pelayanan.  Tolong diproses pengiriman segera dong barang saya! ! !  Dengan resi JP! ! !
__label__1,jangan pernah mau pake shopee express guys.  jelek bgt anjenk pelayanan bgst emosi gua
__label__1,"  no.  Pesanan  voucher google play sdh  hari status masih proses,  chat ke CS suruh tggu jam,  lewat jam ditweet suruh DM,  udah di DM tidak direspon. . .  shopee Jelek sekali pelayanan"
__label__1,"  Astaga Live Chat di Shopee bikin Emosi,  masa Agent pada leave chat tnpa permisi,  blm jga kelar,  keterlaluan bgt.  Gw msh apal nama Levy,  Obby,  Fajar,  Fajri.  Kalo misal kurang agent Oprec Lagi deh tambahin pegawai biar gak kayak gitu,  jelek banget pelayanan, "
__label__1,"  jadi itu akun shopee mall yg official yg mana min,  ankerindonesia_sbs yg ilang atau ankerindonesia ? ?  koq gini sih shopee,  pelayanan koq jelek ? ? "
__label__1,marah banget sama shopee express pelayanan kacau
__label__1,Oy shopee @ShopeeCare nama toko rexusid itu akun bodong apa gimana?  Toko verified shopee tapi kok kacau bgt pelayanan?  Suspend aja toko bgtu drpd bikin kesel doang.
__label__1,@ShopeeID KACAU BANGET PELAYANAN SHOPEE!  SAYA ORDER BARANG DAN SALAH KIRIM!  SAYA AJUKAN DIPUSAT RESOLUSI DAN SUDAH RETUR BARANG!  TETAPI SHOPEE  ERROR SAYA TIDAK BISA INPUT RESI DAN LGSG MENGHUBUNGI UNTUK DIBANTU INPUT!  MALAH DANA DIKEMBALIKAN KE PENJUAL!
__label__1,"  Pelayanan terburuh dari @ShopeeID call center tidak becus,  pengiriman memakai shopee express pun buruk.  Barang saya sudah terkonfirmasi diterima padahal belum ada saya terima barang.  Kacau @ShopeeCare"
__label__1,"  pelayanan di shopee  payah banget.  Checkout dari tgl  nunggu pengemasan sampe tgl  akhir na di chat ""Pengiriman kapan? "".  Baru dibales hari ini dg jawaban ""Stok kosong.  Apa mau diganti barang dg harga yg sama? "". "
__label__1,"  Shopee memang lama- lama bikin gondok.  Sekarang pembeli gak bisa milih ekspedisi alias dipaksa pakai Sicepat / Shopee Express,  padahal pelayanan payah banget dan mahal.  Kesempatan Bukalapak buat bangkit nih,  apalagi di Bukalapak selisih biaya kirim aja dikembaliin ke Bukadompet. "
__label__1,"  Tp skrg emg pelayanan pengantaran shopee payah banget,  lama banget di anter minimal dr beli sampe mpe ke rmh tuh bisa sekitar  harianan hari kerja,  sdgkan kalo di tokped itu beli barang hari ini  hari kemudian udh sampe barang. . "
__label__1,Pelayanan pengembalian dana ko lama sekali ya.  Saya sudah sejak hari minggu lalu barang telah sampai di warehouse shopee.  Kata MAX -  hari kerja.  Skrg sudah lebih dr peraturan yg ada.  Setiap chat cs disuruh nunggu -  hari kerja lg.  payah! ! ! ! !
__label__1,"  Payah ini jnt udah beberapa minggu ngga sampe .  Padahal jkt batam doang.  Mending gw kirim pake pos klo gt.  Hapus aj opsi jnt economy dri shopee,  kirain sama trta pelayanan kek tai.  Komplen jg ga di gubris.  Ga responsible bgt.  Gaji buta. "
__label__1,"  Kapok belanja disini KNHJN udah nunggu di chat seller gak bales eh tau toko tutup saya batalin eh masuk nunggu lagi prosess x jam.   Padahal pesan saya urgent popok bayi,   Disaat yang seperti ini shopee tidak bisa di jadikan andalan pelayanan yg payah"
__label__1,@ShopeeID payah. . Padahal sebelum na pernah beli paket data di Lazada dan Tokopedia gk pernah seperti ini. .  Tolong ya Shopee Indonesia pelayanan buat konsumen  diperhatikan
__label__1,"  Emang payah sih pelayanan cs shopee.  Sy seller dan buyer juga.  Pernah beli timbangan banyak dr batam, beli  cuma  yg berfungsi normal. Lapor Cs diminta video unboxing, akhir dikembaliin tp tetep sy rugi bgt nanggung ongkir . dana balik ke sy. "
__label__1,"  @ShopeeCare inti  disini saya sudah kecewa banget,  jaminan  &  garansi shopee itu kebijakan  seperti apa,  nga jelas bngt,  nga ngerti deh gmn lagi ngurusin ,  ud sesuai sop,  over  hari,  nga dikirim,  minta refund masa nga bs?  Kok jelek bngt pelayanan ?  Payah deh"
__label__1,"  @ShopeeCare gimana ini pelayanan shopee payah,  saya DM Berkali- kali tp tdk ditanggapi"
__label__1,"  nih,  kasus lg min.  semalam saya beli token rb,  kira pukul  malem,  sampe skrg gak muncul jg nomor token.  gmn nih?  kok skr shopee jd jelek bgt pelayanan utk beli token?  lelet bgt lg respon"
__label__1,barangkali mau buat survey tentang kurir yg anda punya saya akan isi d paling jelek pelayanan shopee express std
__label__1,"  kok masih masuk yg ekstra ya?  TOLONG LAH YA GAUSAH NGADA"" BISA GA SIH?  KLO GA DAFTAR YG XTRA YA BeRArTI EMANG GAMAU,  APA"" AN DIMASUKan KE PROGRAM XTRA TANPA IZIN PEMILIK TOKO?  MAKIN JELEK AJA PELAYANAN SHOPEE"
__label__1,"  Shopee bukan makin bagus malah makin buruk @ShopeeID kecewa dengan pelayanan dan pengantaran,  org itu makin kesini makin bagus,  ini malah tambah jelek"
__label__1,Shopee tambah jelek aja anjir pelayanan  sekarang
__label__1,"  iya min,  shopee masih jelek banget di pelayanan masalah pelanggan bikin ribet dan ga kelar kelar,  klo ngga follow up follow up ga bakal di waro"
__label__1,Pelayanan shopee expres jelek banget sumpah
__label__1,pelayanan shopee kalian jelek bgt.  Beli  item barang yg datang cuma  alasan habis stok.  Ini udh x alasan barang ga dikirim krn habis stok.  Tolong dong refund uang saya untuk barang yg tidak kalian kirim.  Masa masih ketarik untuk  item tapi yg dtg hanya  item? !
__label__1,"  Jelek bgt si ya pelayanan ,  kapok pake shopee express"
__label__1,@ShopeeID pelayanan shopee CS chat jelek bgt
__label__1,@ShopeeID ini shopee keluhan orang ga di tanggepin ya jelek amat pelayanan
__label__1,"   @ShopeeID ini shopee gimana ya?  udah dua kali pesenan saya kaya gini,  batal terkirim.  ini yang kedua loh,  pake shopee express jelek banget pelayanan .  padahal posisi drop point  deket,  tapi pesenan ga sampai- sampai di alamat"
__label__1,"  shopee skrg jelek amat pelayanan  buruk,  pindah ke tokped aja ah tai sebel mau nangis"
__label__1,@ShopeeID apa benar sistem stok dilock shopee sehingga seller tdk bisa update stok ?  Kecewa bgt belanja dr tgl  status msh dikemas trs baru diinfo seller klo beberapa barang yg dipesan stok kosong.  WTF  sekelas official store pelayanan jelek begitu ?
__label__1,"  Wah kasus sama nih,  pesenan bini gw juga dari tgl  status dikemas mulu.  Jelek bgt pelayanan Unilever shopee,  kalian jg sama aja saling lempar"
__label__1,Shopee pelayanan  makin sini makin jelek percuma barang murah gak berkualitas Udeh tutup aja Mending lazada ma toped yg makin maju pelayanan  n pembayaran  jg sekarang di permudah n pengiriman cepat
__label__1,Pelayanan shopee jelek banget kenapa yak @ShopeeID
__label__1,"  shopee emg sibuk promosi doang undang kpop,  yg budget super gede,  tp pelayanan makin jelek dan makin pelit!  . .  dulu bisa dpt byk bgt koin skrg beh pelit amat. . .  Sibuk gaet peminat baru tp pelanggan lama diabaikan"
__label__1,Kog gitu ya pelayanan shopee makin jelek akhir ini
__label__1,Itu udah di infoin detail sampe via email malah respon sama aja sampe x mba mas :  )  pelayanan shopee makin kesini ko makin jelek sih
__label__1,Weh shopee makin pelit aja sih @ShopeeID gak perlu lu undang blekpink gf suju segala macem korea gak jelas yg pnting itu puasi nih pelayanan lu parah masa skrg cm voucher freong gak bs gabung sm cashback. . .  Parah lu sibuk promosi doang kualitas mkin jelek
__label__1,"  @ShopeeCare halo pelayanan Shopee jelek banget sumpah,  aku udh balas berkali- kali kendala aku no  lewat email malah dibilang belum balas sama sekali,  apa kalian ga pernah ngecek email masuk?  dan case ditutup gmn sih Shopee nih,  you just lost your loyal customer"
__label__1,"  @ShopeeCare GAK PAHAM LAGI SAMA PELAYANAN SHOPEE.  DEMI APAPUN PROSES KONFIRMASI,  GANTI DATA,  TAMBAHIN DATA,  JELEK BANGET.  LAMA PROSES SUMPAH.  APA SIH"
__label__1,"  Pulsa saya ud habis ratusan ribu di call center karena di hold -  menit terus dan tidak ada solusi,  gila mau untung beli brg di shopee harga barang  juta jadi  juta karena pelayanan shopee yg jelek bngt,  seller  di push dong kirim unit baru,  atau refund aja deh"
__label__1,@ShopeeCare tolong direspon DM saya min. . .  shopee knp kualitas pelayanan jelek gini. .  padahal saya input resi sesuai tp dibilang tdk sesuai
__label__1,"  Saya juga seperti ini min.  Saya sudah dm juga detail keluhan,  di ig saya ga direspon sampe ke twitter ga direspon juga parah bgt pelayanan shopee"
__label__1,shopee nih perasaan gede platform doang tp pelayanan publik ancur parah.  @ShopeeCare @ShopeeID
__label__1,Shopee emang parah bgtsi skrg cm ngadain live undang yg mahal untuk apa kl pelayanan kalian buruk bahkan sm kurir sendiri.  @ShopeeID #ShopeeTindasKurir
__label__1,"  @ShopeeID kalo emang mau shopee express laku ga gini kali cara,  perbaiki dulu tuh pelayanan baru deh wajib pake.  Ini paket ngedap dibagian sortir sehari semalem,  belom lagi kurir parah keluar jam  pagi masa balik ke gudang lagi "
__label__1,@ShopeeCare  parah parah pelayanan Shopeefood dan mitra driver ini @GrabID @gojekindonesia @TokopediaCare @ShopeeID respon lambat LIVE CHAT TIDAK ADA.  Platinum rasa nasabah biasa.  NYESEL JADI PLATINUM DI SHOPEE.  kepuasan dan service ke customer ga di prioritaskan
__label__1,"  benar pelayanan yg buruk,  paket sudah hr tidak dipickup,  tracking tidak jalan masih resi kosong.  tgl  apr berarti sudah hari ke .  Salah shopee tidak bisa memilih kurir,  kurir kaya gini kinerja kok dipake?  sy komplain di sini juga sudah hr lbh tidak ada respon.  parah! "
__label__1,"  halo @ShopeeID kenapa pelayanan cs sangat buruk ya?  saldo penjual saya ditahan sampai seminggu tetap tidak ada kejelasan,  parah banget,  saya sangat kecewa dengan shopee! ! ! "
__label__1,"  Ih parah sih @eigeradventure ,  pelayanan di shopee  super lambat. . "
__label__1,"  parah banget sih pelayanan dari kurir shopee express. .  jelas gw pilih pengantaran yg jam kantor,  dikirim malah jam .  malem. .  siapa yg mau terima jam segitu dikantor,  kocak ! !  @ShopeeID udah bayar mahal yg sehari sampe di jam kerja,  ini malah harus berhari "
__label__1,"  Jangan cuma promo aja. . pelayanan keluhan konsumen juga dibenahin. . saya Salah satu konsumen yg dirugiin sama penjual Di shopee, barang GA dikirim. . malah Masih aja belain penjual. . pembeli disuruh nunggu Dan nunggu. . . parah"
__label__1,"  itu vocer yang shopee tanam kan dapet vocer potongan rb tapi menu  rb wkwk jadi kita bayar sisa ,  eh ngantri tapi kata gabisa wkwkw parah banget ya capek bgt tangan nyirem sama kaki ngantri di tambah kesel sama pelayanan  wkwkw"
__label__1,"  Wah parah juga pelayanan cs shopee.  Kmrn sodara gw ada juga yg kena tipu model beginian,  dia ngadu Ama gw kalo shopee parah kalo ada prob kek gini ga mau bantu.  Gw cmn dengerin doang ga respek Face with tears of joy toh soal gw gapernah gitu. "
__label__1,"  Cara pelayanan .  Nyesel parah! !  shopee dah di chat,  di DM gak di bales ujung  orderan gak sesuai karna aplikasi BUSUK seller di chat gak mbung.  Minta tanggung jwb "
__label__1,@ShopeeIndonesia Toko @gathaputri parah banget sih pelayanan shopee! ! !  Ancur. . ! ! !  Beli vocher engga di kirim dan uang pun engga di kembalikan parah! ! ! ! !
__label__1,"  Wah emang parah berarti Shopee Express Someday,  yang tadi harus sampe jam ini malah molor,  stack di penjadwalan gak jelas,  malah dm @ShopeeCare @ShopeeID cuma disuruh tunggu aja!  Parah pelayanan @ShopeeID @ShopeeCare sangat buruk. "
__label__1,Seller shopee ini ya suka galak tapi pelayanan lelet parah.  Ngeselin asli
__label__1,"  @ShopeeID ya ampun pelayanan shopee express parah bgt, ,  daritadi siang sampe jam sgini blm sampe jg.  Inimah bukan same day"
__label__1,Shopee yah?  Mending telfon deh bubu. . .  Shopee tuh parah bgt pelayanan soal complain.  Beda sm Tokopedia ama Bukalapak
__label__1,"  parah banget pelayanan shopee express sameday.  Barang itu mau dipake kesel kirain sameday bener cepet,  ini sama aja lelet.  Baru kali ini kecewa.  Kalo emg ga sanggup untuk sameday ga usah muluk.  Kesel bener kesel"
__label__1,Weh shopee makin pelit aja sih gak perlu lu undang blekpink gf suju segala macem korea gak jelas yg pnting itu puasi nih pelayanan lu parah masa skrg cm voucher freong gak bs gabung sm cashback. . .  Parah lu sibuk promosi doang kualitas mkin jelek
__label__1,iya makin parah ni pelayanan shopee. . . . bayak masalah. . . . jd makin tambah males beli barang dishopee. . . ! ! !
__label__1,"  @ShopeeCare @ShopeeID gimana ini nomor laporan  seperti tidak ada penyelesaian,  makin buruk aja pelayanan shopee hari ke hari,  PARAH! ! ! "
__label__1,"  Parah emang skrg.  Star seller seperti  tidak jaga kualitas.  Jawab chat jg kadang ogahan.  Ngomong  star seller,  tp pelayanan jelek.  Shopee kurang ketat ngurus seller "
__label__1,"  Iya bener banget sis ,  shopee ini kelewat parah pelayanan cs .  Bolak balik mention karena keluhan erorr kemarin,  dijawab sama aja. .  gak ada solusi sama sekali. . "
__label__1,Udah?  Cuma itu saja jawab? ?  Parah pelayanan shopee
__label__1,@ShopeeCare shopee parah bgt pelayanan . . .  Buat respon lama banget
__label__1,Parah banget nih pelayanan shopee.  Beda banget sm lapak sebelah
__label__1,Ini bukan kendala tapi pelayanan aja yang parah. . . saya seller kapok jualan di shopee
__label__1,parah sekali pelayanan shopee main embat cancel orderan di kira bayar g pake uang anjing
__label__1,"  Pelayanan jdi makin buruk sejak Shopee menerapkan pemilihan kurir oleh pihak mereka sendiri,  n biasa menggunakan Shopee Exprss Standard atau Anteraja. . .  Pdhl kedua relatif baru,  bila d bandingkan JNE,  JnT atw SiCepat. . .  Jauh lbh baik n pasti esok hr sdh tiba. . "
__label__1,"  Pelayanan kurir shopee express buruk bgt,  padahal harus sampai di tgn kemarin dan sebenar barang udh di domilisi saya tpi kok smpe skrg gk dikirim ke rmh ya?  ngkut?  Saya hubungi cs tpi gk dpt solusi dan gk ditanggapi TOLONG DIPERBAIKI LAYANAN! "
__label__3,"  Ya bukan jobdesk dia sih,  mau nolak mungkin ga enakan driver.  Agak bikin ribet driver jg kecuali ya sama temen sendiri.  Tp dr pengalaman ku driver Shopee food sama aja kaya driver lain.  Kalo lg apes ya dpt yg pelayanan buruk tp ada jg yg ramah bgt bgt pas anter. "
__label__1,@ShopeeID pelayanan shopee buruk sekali menghuhungi customer service dari pagi ngk di angkat.  Dn shopeepay sy d blokir lagi.  Tolong aktifin lagi shopee pay saya.
__label__1,Shopee emang parah bgt sih skrg cm ada live undang yg mahal untuk apa kl pelayanan kalian buruk bahkan sm kurir sendiri.  @ShopeeID #ShopeeTindasKurir
__label__1,"  Shopee bukan makin bagus malah makin buruk @ShopeeID kecewa dengan pelayanan dan pengantaran,  org itu makin kesini makin bagus,  ini malah tambah jelek"
__label__1,kali pesen barang di shopee dan kebetulan pengiriman pakai shopee express tapi pelayanan dari kurir buruk bgt @ShopeeID
__label__1,"  Pelayanan customer service  shopee buruk bgt,  menghubungi shopee pas lagi ngmng malah dimatiin. "
__label__1,"  BENER INI.  Sejak gak bisa pilih ekspedisi sendiri dan selalu dapet shopee express pelayanan buruk.  Lama bgt.  Biasa ga sampe sehari uda sampe,  skrg hampir seminggu.  Tlg diganti ke sistem yg lama.  Uda banyak yg komplain ternyata"
