reviews,label,review,,
"Suka banget,  mempermudah beli sesuatu yang jarak nya mungkin ga bisa di tempuh.  Thank you very much shopee",__label__5,"__label__5 Suka banget,  mempermudah beli sesuatu yang jarak nya mungkin ga bisa di tempuh.  Thank you very much shopee",,
"Shopee dapat mepermudah memperoleh barang dengan harga terjangkau, recomended buat yang mau belanja online. ",__label__5,"__label__5 Shopee dapat mepermudah memperoleh barang dengan harga terjangkau, recomended buat yang mau belanja online. ",,
"Sangat membatu untuk transaksi online,  untuk fitur pembayaran listrik tolong segera di aktifkan dong min. ",__label__5,"__label__5 Sangat membatu untuk transaksi online,  untuk fitur pembayaran listrik tolong segera di aktifkan dong min. ",,
Selalu belanja online di shopee.  Saya suka saya suka.  Semoga selalu baik pelayanannya dan banyak diskonnya,__label__5,__label__5 Selalu belanja online di shopee.  Saya suka saya suka.  Semoga selalu baik pelayanannya dan banyak diskonnya,,
Mantap shoopee sukses terus dengan produk2 yg berkualitas tinggi dan bagus serta banyak lagi diskon potongan harga nya,__label__5,__label__5 Mantap shoopee sukses terus dengan produk2 yg berkualitas tinggi dan bagus serta banyak lagi diskon potongan harga nya,,
"aplikasi shopee paling the best,  tapi kenapa ya mau co aja susah banget ini aplikasi paling the best kan. ?",__label__5,"__label__5 aplikasi shopee paling the best,  tapi kenapa ya mau co aja susah banget ini aplikasi paling the best kan. ?",,
Semua ada si shopee. barangnya bagus2. cicila juga ringan banget. terus maju shoppe,__label__5,__label__5 Semua ada si shopee. barangnya bagus2. cicila juga ringan banget. terus maju shoppe,,
Bagus.  Tapi kadang suka lemot apk nya.  Tolong dibuat semakin lebih baik lagi agar memudahkan para pengguna,__label__5,__label__5 Bagus.  Tapi kadang suka lemot apk nya.  Tolong dibuat semakin lebih baik lagi agar memudahkan para pengguna,,
"Shopee luar biasa.  Bnyk keuntungan di dlm ya.  Baru regist dan login aja sdh dapat bonus saldo shopee pay, dan dalat limit do shopee liter.  Mksh shopee, ",__label__5,"__label__5 Shopee luar biasa.  Bnyk keuntungan di dlm ya.  Baru regist dan login aja sdh dapat bonus saldo shopee pay, dan dalat limit do shopee liter.  Mksh shopee, ",,
"Saya senang dengan pelayanan cs nya.  Kalo ada kndala gak bisa handle, gak bisa di andalkan. ",__label__5,"__label__5 Saya senang dengan pelayanan cs nya.  Kalo ada kndala gak bisa handle, gak bisa di andalkan. ",,
"Gak pernah  klo belanja di Shopee,  pengiriman cepat,  barang sesuai dan packing aman. ",__label__5,"__label__5 Gak pernah  klo belanja di Shopee,  pengiriman cepat,  barang sesuai dan packing aman. ",,
"Aplikasi yang sangat bàgus, harus bilang apa, andaikan ada bintang tujuh ane kasih tujuh. ",__label__5,"__label__5 Aplikasi yang sangat bàgus, harus bilang apa, andaikan ada bintang tujuh ane kasih tujuh. ",,
"Sangat memuaskan tidak seperti online sebelah,  mana yang dipesan lain yang datang ()",__label__5,"__label__5 Sangat memuaskan tidak seperti online sebelah,  mana yang dipesan lain yang datang ()",,
"Senang belanja di shopee,  banyak promo,  harga nya lebih murah di banding online shop dan , ",__label__5,"__label__5 Senang belanja di shopee,  banyak promo,  harga nya lebih murah di banding online shop dan , ",,
Terimakasih shopee.  tapi harus diteliti apa yang mau dibeli.  Harus lihat realpictnya dll. ,__label__5,__label__5 Terimakasih shopee.  tapi harus diteliti apa yang mau dibeli.  Harus lihat realpictnya dll. ,,
minta rating muluk ne aplikasi.  padahal dah dikasih bintang 5 lhoo.  moga dshope bisa lebih memfilter tentang toko2 fake dan lebih spesifik dalam pemaparan quality produk yg di jual oleh toko2.  sukses dan makin bermanfaat untuk khalayak ramai.  💯,__label__5,__label__5 minta rating muluk ne aplikasi.  padahal dah dikasih bintang 5 lhoo.  moga dshope bisa lebih memfilter tentang toko2 fake dan lebih spesifik dalam pemaparan quality produk yg di jual oleh toko2.  sukses dan makin bermanfaat untuk khalayak ramai.  💯,,
"Mohon untuk memperbaiki tombol ""pesanan diterima"" karena sering tanpa disengaja terpencet. ",__label__5,"__label__5 Mohon untuk memperbaiki tombol ""pesanan diterima"" karena sering tanpa disengaja terpencet. ",,
Tolong di cek tuh seller yang lama ngimirimnya masa ngemas aja status ga berubah sampe 5 hari Tolong dh di atur deadlinenya buat seller asal2an Kalo perlu kalo yang kelamaan ngasih atau ngirimnya blokir aja biar ke filter yang bagus2 Baca ya Shopee🙏👍👍,__label__5,__label__5 Tolong di cek tuh seller yang lama ngimirimnya masa ngemas aja status ga berubah sampe 5 hari Tolong dh di atur deadlinenya buat seller asal2an Kalo perlu kalo yang kelamaan ngasih atau ngirimnya blokir aja biar ke filter yang bagus2 Baca ya Shopee🙏👍👍,,
ManTAp DOWNLOAD JANGAN LIAT KOMEN DOANG,__label__5,__label__5 ManTAp DOWNLOAD JANGAN LIAT KOMEN DOANG,,
"Mohon maaf kepada Shopee, toko yang dialporkan oleh pelanggan segera ditidak lanjutin. soalnya pernah kami mau pesan malah toko omongnya g sopan sama pelanggan",__label__5,"__label__5 Mohon maaf kepada Shopee, toko yang dialporkan oleh pelanggan segera ditidak lanjutin. soalnya pernah kami mau pesan malah toko omongnya g sopan sama pelanggan",,
Kren aplikasi belanja online satu ini,__label__5,__label__5 Kren aplikasi belanja online satu ini,,
"Rada voucher nya gabisa dipakai yang luar jawa.  Yang bisa waktu itu cuma SMS :"")",__label__5,"__label__5 Rada voucher nya gabisa dipakai yang luar jawa.  Yang bisa waktu itu cuma SMS :"")",,
Membeli dengan mudah. tanpa  ,__label__5,__label__5 Membeli dengan mudah. tanpa  ,,
"Sangat membantu saya ketika repot, ",__label__5,"__label__5 Sangat membantu saya ketika repot, ",,
"Produk banyak. sangat variatif,  harga terjangkau,  Mudah di temukan produk yang di cari. ",__label__5,"__label__5 Produk banyak. sangat variatif,  harga terjangkau,  Mudah di temukan produk yang di cari. ",,
"Shopee memang toopp saya suka belanja di shopee,  apa lagi sekarang banyak gratis ongkirnya",__label__5,"__label__5 Shopee memang toopp saya suka belanja di shopee,  apa lagi sekarang banyak gratis ongkirnya",,
Selama ini tak ada kendala soal barang.  Kadang cuma d kurir yang ada masalah tp ya maklum,__label__5,__label__5 Selama ini tak ada kendala soal barang.  Kadang cuma d kurir yang ada masalah tp ya maklum,,
"Saya baru buka toko di shopee, terima kasih shopee sudah mempermudah proses verifikasi nya",__label__5,"__label__5 Saya baru buka toko di shopee, terima kasih shopee sudah mempermudah proses verifikasi nya",,
"Sangat membantu,  banyak barang yg diperlukan dan harga nya lebih murah Terimakasih shopee",__label__5,"__label__5 Sangat membantu,  banyak barang yg diperlukan dan harga nya lebih murah Terimakasih shopee",,
Mantap banget lancar jaya aplikasi nya 😍😍,__label__5,__label__5 Mantap banget lancar jaya aplikasi nya 😍😍,,
Bagus banget Apk nya!!!!!!,__label__5,__label__5 Bagus banget Apk nya!!!!!!,,
"Suka belanja di shopee.  belanja nyaman.  selalu di shopee dong,  udah brp kali belanja sampai ga keitung. ",__label__5,"__label__5 Suka belanja di shopee.  belanja nyaman.  selalu di shopee dong,  udah brp kali belanja sampai ga keitung. ",,
"Tidak rugi belanja di shopee,  harga terjangkau,  kualitas ok,  mantap pokoknya buat shope",__label__5,"__label__5 Tidak rugi belanja di shopee,  harga terjangkau,  kualitas ok,  mantap pokoknya buat shope",,
Kok nabung emas saya belum di acc ya padahal saya udah beli 10rb sedang diproses terus mohon di bantu,__label__5,__label__5 Kok nabung emas saya belum di acc ya padahal saya udah beli 10rb sedang diproses terus mohon di bantu,,
"Insya Allah,  selama belanja memuaskan.  Mudah2an selalu amanah ya. ",__label__5,"__label__5 Insya Allah,  selama belanja memuaskan.  Mudah2an selalu amanah ya. ",,
Sangat bagus sukses terus buat shopee,__label__5,__label__5 Sangat bagus sukses terus buat shopee,,
Apak cukup membantu,__label__5,__label__5 Apak cukup membantu,,
saya sangat suka banget belanja di shopee barangnya selalu memuaskan. pokoknya the best bgt shopee love you 😘😘,__label__5,__label__5 saya sangat suka banget belanja di shopee barangnya selalu memuaskan. pokoknya the best bgt shopee love you 😘😘,,
"Alhamdulillah selama belanja online di shopee semuanya memuaskan kurir juga alhamdulilah dapet yang ramah²,  recommended beli online di shopee😘",__label__5,"__label__5 Alhamdulillah selama belanja online di shopee semuanya memuaskan kurir juga alhamdulilah dapet yang ramah²,  recommended beli online di shopee😘",,
"Pokoknya sy puas belanja dsini.  No tipu2,  produknya ori.  Insyaallah sy blnja lg dsinii. ",__label__5,"__label__5 Pokoknya sy puas belanja dsini.  No tipu2,  produknya ori.  Insyaallah sy blnja lg dsinii. ",,
   banget????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????tapi boong bagus banget,__label__5,__label__5    banget????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????tapi boong bagus banget,,
Mantep banget cuy.  Ga pelit voucher mimin nya! Dan puas belanja di shopee.  Ga nyesel dah. ,__label__5,__label__5 Mantep banget cuy.  Ga pelit voucher mimin nya! Dan puas belanja di shopee.  Ga nyesel dah. ,,
Senang belanja dishopee pilihan tokohnya banyak harga juga menyesuaikan dan pelayanannya baik pula .  Makasih shopee. ,__label__5,__label__5 Senang belanja dishopee pilihan tokohnya banyak harga juga menyesuaikan dan pelayanannya baik pula .  Makasih shopee. ,,
Berbelanja dengan shopee dengan harga yang sangat memuaskan dan ongkir juga sering bisa jadi perbandingan. Terima kasih shopee,__label__5,__label__5 Berbelanja dengan shopee dengan harga yang sangat memuaskan dan ongkir juga sering bisa jadi perbandingan. Terima kasih shopee,,
terima kasih shoppy. aku sangat suka belanja di aplikasi shoppy ini tidak   belanja di aplikasi ini. ,__label__5,__label__5 terima kasih shoppy. aku sangat suka belanja di aplikasi shoppy ini tidak   belanja di aplikasi ini. ,,
"halo team shopee,  terimakasih sudah membuat aplikasi ini.  yg memudahkan saya membeli barang tanpa keluar rumah",__label__5,"__label__5 halo team shopee,  terimakasih sudah membuat aplikasi ini.  yg memudahkan saya membeli barang tanpa keluar rumah",,
Sangat2 membantu dalam kebutuhan sehari2 saya terimakasih shopee semoga kedepannya jauh lebih baik lg dr skrg. ,__label__5,__label__5 Sangat2 membantu dalam kebutuhan sehari2 saya terimakasih shopee semoga kedepannya jauh lebih baik lg dr skrg. ,,
Tolong di bantu saya sudah 2x daftar spaylether tp gk acc sedangkan saya daftar shoppe pay bisa ini gmn?tolong di bantu min,__label__5,__label__5 Tolong di bantu saya sudah 2x daftar spaylether tp gk acc sedangkan saya daftar shoppe pay bisa ini gmn?tolong di bantu min,,
"Dari awal sejak ada sy gak pernah ganti ke yg lain, ttp pertahankan semoga kedepan. semakin jaya",__label__5,"__label__5 Dari awal sejak ada sy gak pernah ganti ke yg lain, ttp pertahankan semoga kedepan. semakin jaya",,
"Suka dapet diskon,  smoga lebih banyak lagi dan keinginan saya adalah ingin dapet barang flash sale kayak hp dll hehe",__label__5,"__label__5 Suka dapet diskon,  smoga lebih banyak lagi dan keinginan saya adalah ingin dapet barang flash sale kayak hp dll hehe",,
"Pernah beli selain shopee , penjual kurang amanah",__label__5,"__label__5 Pernah beli selain shopee , penjual kurang amanah",,
Sangat bagus banyak gratis ongkir nya,__label__5,__label__5 Sangat bagus banyak gratis ongkir nya,,
"Shopee terbaik,  terkadang jg menjengkelkan karena asa beberapa toko yg tidak sesuai kirim barang,  pelayanan nya oke",__label__5,"__label__5 Shopee terbaik,  terkadang jg menjengkelkan karena asa beberapa toko yg tidak sesuai kirim barang,  pelayanan nya oke",,
"mengalahkan suara,  mendekatkan impian",__label__5,"__label__5 mengalahkan suara,  mendekatkan impian",,
Saya suka aplikasi shopee ini setiap order selalu sesuai dengan pesanan dan pengirimannya cepat🤗🤗,__label__5,__label__5 Saya suka aplikasi shopee ini setiap order selalu sesuai dengan pesanan dan pengirimannya cepat🤗🤗,,
"Kebanyakan amanah penjualnya tidak seperti di akun sebelah, aman dan nyaman belanja di shopee karena akun terlindungi",__label__5,"__label__5 Kebanyakan amanah penjualnya tidak seperti di akun sebelah, aman dan nyaman belanja di shopee karena akun terlindungi",,
"seneng belanja di sini, bisa hemat waktu dan hemat uang, selalu ada gratis ongkir nya lagi🤗",__label__5,"__label__5 seneng belanja di sini, bisa hemat waktu dan hemat uang, selalu ada gratis ongkir nya lagi🤗",,
"Makin lama,  makin lemot diakses.  Tolong yaa diperbaiki aplikasinya. ",__label__5,"__label__5 Makin lama,  makin lemot diakses.  Tolong yaa diperbaiki aplikasinya. ",,
Memudahkan pencarian/belanja barang,__label__5,__label__5 Memudahkan pencarian/belanja barang,,
Lebih baik dibanding layanan sejenis.  Semoga semakin meningkat cepat dan kualitasnya sesuai dgn promosinya. ,__label__5,__label__5 Lebih baik dibanding layanan sejenis.  Semoga semakin meningkat cepat dan kualitasnya sesuai dgn promosinya. ,,
"Terlalu banyak jasa yang saya dapatkan dari Shopee,  semoga tetap bisa lebih ditingkatkan terus dan mau mendengarkan kritik dan saran pengguna.  Thanks for Developer 👍",__label__5,"__label__5 Terlalu banyak jasa yang saya dapatkan dari Shopee,  semoga tetap bisa lebih ditingkatkan terus dan mau mendengarkan kritik dan saran pengguna.  Thanks for Developer 👍",,
"Aplikasi belanja bagus,  terpercaya,  dan selalu mengedepankan kualitas. ",__label__5,"__label__5 Aplikasi belanja bagus,  terpercaya,  dan selalu mengedepankan kualitas. ",,
Min tolong dong shopefood bisa bayar pakai shopepay later😬😬,__label__5,__label__5 Min tolong dong shopefood bisa bayar pakai shopepay later😬😬,,
"Soppe paling oke, tapi mohon untuk menindak lanjuti toko yg menjual barang tidak ori. biar pelanggan makin suka dg soppe",__label__5,"__label__5 Soppe paling oke, tapi mohon untuk menindak lanjuti toko yg menjual barang tidak ori. biar pelanggan makin suka dg soppe",,
Saya bener bener suka belanja di shoppe selain produknya bagus2 dan original proses pengirimannya pun cepat.  Mksh,__label__5,__label__5 Saya bener bener suka belanja di shoppe selain produknya bagus2 dan original proses pengirimannya pun cepat.  Mksh,,
"Min tolong evaluasi penjual yang produknya tidak Realpict dan sering salah kirim pesanan Karna itu merugikan,  & Tolong kedepannya adain lagi fitur pilih jasa ekspedisi krn ada yg lelet so mlz pke",__label__5,"__label__5 Min tolong evaluasi penjual yang produknya tidak Realpict dan sering salah kirim pesanan Karna itu merugikan,  & Tolong kedepannya adain lagi fitur pilih jasa ekspedisi krn ada yg lelet so mlz pke",,
"Tolong perbaiki shopepay kak masak tiba"" di bekukan",__label__5,"__label__5 Tolong perbaiki shopepay kak masak tiba"" di bekukan",,
"Baguss saya suka shopee, cuma kadang2 suka agak greget gitu kalau COD, misalnya harga 24081 masa kulir bilang 25000 kalau tiap kulir kayak gitu bisa2 pusing inyong.  Udah bayar biyaya penanganan juga kan 🙏🙏",__label__5,"__label__5 Baguss saya suka shopee, cuma kadang2 suka agak greget gitu kalau COD, misalnya harga 24081 masa kulir bilang 25000 kalau tiap kulir kayak gitu bisa2 pusing inyong.  Udah bayar biyaya penanganan juga kan 🙏🙏",,
"Seneng belanja di shopee , , tapi kadang pengirimannya lambat, ,  dan kita harus pintar² cari toko yg amanah barangnya",__label__5,"__label__5 Seneng belanja di shopee , , tapi kadang pengirimannya lambat, ,  dan kita harus pintar² cari toko yg amanah barangnya",,
Belanja di shopee tidak   barang ori banyak gratis ongkir nya.  Pokoknya seru deh Belanja di shopee. ,__label__5,__label__5 Belanja di shopee tidak   barang ori banyak gratis ongkir nya.  Pokoknya seru deh Belanja di shopee. ,,
Saya suka banget dg produk dr shopee selalu memberikan pelayanan terbaiknya utk konsumen. semoga terus berjaya,__label__5,__label__5 Saya suka banget dg produk dr shopee selalu memberikan pelayanan terbaiknya utk konsumen. semoga terus berjaya,,
"Tidak bisa buka aplikasi setelah beberapa kali di buka, tolong segera dikasih solusi",__label__5,"__label__5 Tidak bisa buka aplikasi setelah beberapa kali di buka, tolong segera dikasih solusi",,
"Terima kasih sudah direspon keluhannya mengenai pembekuan akun, mohon untuk tidak terulang kembali pembekuannya",__label__5,"__label__5 Terima kasih sudah direspon keluhannya mengenai pembekuan akun, mohon untuk tidak terulang kembali pembekuannya",,
"Sejauh ini aplikadi shope sangat bermanfaat , ,  saya sudah sering belanja d shope alhamdulillah pesanan selalu sesuai dan selalu dapat gratis ongkir , ,  thankyou shope 🥰🥰🥰🥰🥰🥰🥰",__label__5,"__label__5 Sejauh ini aplikadi shope sangat bermanfaat , ,  saya sudah sering belanja d shope alhamdulillah pesanan selalu sesuai dan selalu dapat gratis ongkir , ,  thankyou shope 🥰🥰🥰🥰🥰🥰🥰",,
Mau tanya aja PD pihak shopee knp barang yg kita beli LBH dr jumlah ongkirnya bs berlipat lipat padahal barangnya TDK smpe 1 kg tp ongkir bs 165 RB hrg barangnya satu eitem cm rp4500. - itu knp bs bgt mf sblmnya ini terjadi PD saat sy pesan barang,__label__5,__label__5 Mau tanya aja PD pihak shopee knp barang yg kita beli LBH dr jumlah ongkirnya bs berlipat lipat padahal barangnya TDK smpe 1 kg tp ongkir bs 165 RB hrg barangnya satu eitem cm rp4500. - itu knp bs bgt mf sblmnya ini terjadi PD saat sy pesan barang,,
"🆗️👌🏼 Promo shopee mantul sale sedikit tidak menguntungkan untuk daerah kalimantan atau luar pulau jawa,  soalnya versi bulan ini potongan ongkir cuman Rp. 20rb.  Yasudahlah!",__label__5,"__label__5 🆗️👌🏼 Promo shopee mantul sale sedikit tidak menguntungkan untuk daerah kalimantan atau luar pulau jawa,  soalnya versi bulan ini potongan ongkir cuman Rp. 20rb.  Yasudahlah!",,
Okelah bagus lah mantep lah pokonya oke punya punya okr mantep tep tep,__label__5,__label__5 Okelah bagus lah mantep lah pokonya oke punya punya okr mantep tep tep,,
Promonya/Diskonnya Besar tapi ongkir nya jadi naik 3kali lipat dari biasanya.  Di perbaikin lg dong. ,__label__5,__label__5 Promonya/Diskonnya Besar tapi ongkir nya jadi naik 3kali lipat dari biasanya.  Di perbaikin lg dong. ,,
Alhamdulillah Dapat gratis ongkir jdi langsung pesan byk deh🥰,__label__5,__label__5 Alhamdulillah Dapat gratis ongkir jdi langsung pesan byk deh🥰,,
Senang berbelanja nya.  Brang nya cpat sampai,__label__5,__label__5 Senang berbelanja nya.  Brang nya cpat sampai,,
"Alhamdulillah dari 2019 Selama ini belanja di Shopee tidak pernah   Sangat Puas.  Pertahankan Yaa, ,  Sukses Selalu Buat Shopee. ",__label__5,"__label__5 Alhamdulillah dari 2019 Selama ini belanja di Shopee tidak pernah   Sangat Puas.  Pertahankan Yaa, ,  Sukses Selalu Buat Shopee. ",,
Semenjak covid.  Mles keluar.  Ya.  Belanja.  Disini Terimakasih. ,__label__5,__label__5 Semenjak covid.  Mles keluar.  Ya.  Belanja.  Disini Terimakasih. ,,
slama ini sih baik ga ada masalah. ,__label__5,__label__5 slama ini sih baik ga ada masalah. ,,
"Saya tidak punya motor,  cuma punya sepeda.  ketika saya mau beli pakaian atau celana terasa sangat payah.  Tapi semenjak ada shopee,  saat saya mau beli pakaian dan celana jadi lebih mudah.  Terima kasih shopee",__label__5,"__label__5 Saya tidak punya motor,  cuma punya sepeda.  ketika saya mau beli pakaian atau celana terasa sangat payah.  Tapi semenjak ada shopee,  saat saya mau beli pakaian dan celana jadi lebih mudah.  Terima kasih shopee",,
Blanja online paling nyaman buat aku sihh,__label__5,__label__5 Blanja online paling nyaman buat aku sihh,,
Pengalaman belanja jadi praktis dan enak gak perly capek keliling mall atau pasar. tinggal duduk santai dqn barang yang diinginkan datang. ,__label__5,__label__5 Pengalaman belanja jadi praktis dan enak gak perly capek keliling mall atau pasar. tinggal duduk santai dqn barang yang diinginkan datang. ,,
"Baru 6 bulan coba bersama istri saya.  Sukurlah,  all is well. ",__label__5,"__label__5 Baru 6 bulan coba bersama istri saya.  Sukurlah,  all is well. ",,
Sangat bertanggung jawab dengan pelanggan. jangan ragu bertransaksi di shoopy. aman sy perna.  Alami,__label__5,__label__5 Sangat bertanggung jawab dengan pelanggan. jangan ragu bertransaksi di shoopy. aman sy perna.  Alami,,
selama saya pesan di sophee produk yang datengg tidak ada yang  n dan toko nya amanah dan kurir nya sangat ramah di sophee,__label__5,__label__5 selama saya pesan di sophee produk yang datengg tidak ada yang  n dan toko nya amanah dan kurir nya sangat ramah di sophee,,
Spinjam nya kok gk keluar keluar min akun saya sudah platinum kok blom ada spinjam yah ????,__label__5,__label__5 Spinjam nya kok gk keluar keluar min akun saya sudah platinum kok blom ada spinjam yah ????,,
"aplikasi yang sangat membantu ,  aman dan terpercaya .  joss pokok e !!!!!!!",__label__5,"__label__5 aplikasi yang sangat membantu ,  aman dan terpercaya .  joss pokok e !!!!!!!",,
memudahkan saya dlam menjangkau belanjaan yg tidak bisa dipesan dgn dalam waktu singkat terima kasih shopee,__label__5,__label__5 memudahkan saya dlam menjangkau belanjaan yg tidak bisa dipesan dgn dalam waktu singkat terima kasih shopee,,
"Puas belanja di online shop ini,  selalu ada penawaran dengan harga terbaik.  Produknya pun bagus. ",__label__5,"__label__5 Puas belanja di online shop ini,  selalu ada penawaran dengan harga terbaik.  Produknya pun bagus. ",,
"Knapa sekarang apk shopee , sering lag yaa??? Ada yang kasusnya sama?",__label__5,"__label__5 Knapa sekarang apk shopee , sering lag yaa??? Ada yang kasusnya sama?",,
Shopi bagus cepat dan bisa di percaya,__label__5,__label__5 Shopi bagus cepat dan bisa di percaya,,
Bagus bgt barang ny sesuai dengan pesanan suka bngt si ini blnja online terfavorit ak makasih shopy udah jadi yg terbaik,__label__5,__label__5 Bagus bgt barang ny sesuai dengan pesanan suka bngt si ini blnja online terfavorit ak makasih shopy udah jadi yg terbaik,,
Terimakah.  Barang nya lumayan bagus dental harga terjangkau dan pengiriman sangat tepat,__label__5,__label__5 Terimakah.  Barang nya lumayan bagus dental harga terjangkau dan pengiriman sangat tepat,,
"Knapa shopee pay saya di non aktifkan? Padahal masih ada saldo,  chat life harus login gmana mau login anj.  Balas woy",__label__5,"__label__5 Knapa shopee pay saya di non aktifkan? Padahal masih ada saldo,  chat life harus login gmana mau login anj.  Balas woy",,
Vocer cod makin bnyk. tambah fitur spaylatter sangat membantu. tingkatkan trs pelayanan yg menyenangkan untuk kami para konsumen. 😉👍👍👍,__label__5,__label__5 Vocer cod makin bnyk. tambah fitur spaylatter sangat membantu. tingkatkan trs pelayanan yg menyenangkan untuk kami para konsumen. 😉👍👍👍,,
"Kepuasan layanan dan respon cepat pengaduan.  Paylater shopee membantu mendapatkan barang idaman,  sebelum gajian",__label__5,"__label__5 Kepuasan layanan dan respon cepat pengaduan.  Paylater shopee membantu mendapatkan barang idaman,  sebelum gajian",,
"Belanja lebih mudah,  pengiriman ok,  kurir nya ramah dan harganya sangatlah terjangkau",__label__5,"__label__5 Belanja lebih mudah,  pengiriman ok,  kurir nya ramah dan harganya sangatlah terjangkau",,
Tingkatkan lagi untuk utamakan kwalitas barang dagangan pada reseller.  terima kasih. ,__label__5,__label__5 Tingkatkan lagi untuk utamakan kwalitas barang dagangan pada reseller.  terima kasih. ,,
Recomend banget buat kalian yang suka belanja online. buat saya sendiri ouas banget pake shopee. thank shopee,__label__5,__label__5 Recomend banget buat kalian yang suka belanja online. buat saya sendiri ouas banget pake shopee. thank shopee,,
"Aplikasinya bagus, ,  reseller nya juga ramah².  dan sukanya lagi banyak gratis ongkir nya😍",__label__5,"__label__5 Aplikasinya bagus, ,  reseller nya juga ramah².  dan sukanya lagi banyak gratis ongkir nya😍",,
Nyesel bgt kenapa ga dari dulu belanja online pake shopee.  Bonus dan hadiah bikin ketagihan. sukses selalu shopee,__label__5,__label__5 Nyesel bgt kenapa ga dari dulu belanja online pake shopee.  Bonus dan hadiah bikin ketagihan. sukses selalu shopee,,
Kebanyakan kupon tidak bisa di pakai,__label__5,__label__5 Kebanyakan kupon tidak bisa di pakai,,
jadi langganan untuk semua kebutuhan,__label__5,__label__5 jadi langganan untuk semua kebutuhan,,
Sangat puas sekali belanja di shopee,__label__5,__label__5 Sangat puas sekali belanja di shopee,,
Apk ini sangat membantu saya belanja 😊🙏,__label__5,__label__5 Apk ini sangat membantu saya belanja 😊🙏,,
Bagus dan aman CS cepat merespon keluhan dan voucher dengan belanja minim cukup banyak Tingkatkan terus pelayanan. ,__label__5,__label__5 Bagus dan aman CS cepat merespon keluhan dan voucher dengan belanja minim cukup banyak Tingkatkan terus pelayanan. ,,
Mudah mudahan semakin bisa dipercaya,__label__5,__label__5 Mudah mudahan semakin bisa dipercaya,,
Nyaman banget belanja gak pake  ,__label__5,__label__5 Nyaman banget belanja gak pake  ,,
semua pesanan mudah dan cepat sampai,__label__5,__label__5 semua pesanan mudah dan cepat sampai,,
Apk nya bagus banget aku suka banget😍,__label__5,__label__5 Apk nya bagus banget aku suka banget😍,,
Sangat membantu dengan adanya shopee,__label__5,__label__5 Sangat membantu dengan adanya shopee,,
