reviews,label
Ongkirnya lumayan mahal,__label__3
"Banya ngeblank apk'nya padahal sebelum "" nya engga",__label__3
Gak Kayak Dulu Lagi Ongkir Nya Skrng Lumayan Mahal,__label__3
Oke sih tapi ongkirnya mahal,__label__3
Update.   .   .   .    Update.   .   .    Update.   .   .   ,__label__3
"Lumayan ,   ,  bnyak diskon",__label__3
membantu utk berbisnis,__label__3
"Lumayan membantu ,   ,   ,  ",__label__3
Parah sekarang ngadat mulu eror mulu,__label__3
Knp vocher gk bisa di gunakan,__label__3
"Tolong pihak shopee ,   kenapa ya untuk upgrade ke shopee pay plus harus ktp yang berbeda ,   saya ingin transfer ke bank gabisa ,   dan mau tidak mau akun shoppee sebelumnya harus saya hapus agar ktp saya bisa digunakan untuk verifikasi shopee pay plus ,   akun shopee sebelumnya juga penting ,   ini merugikan sekali karena tidak bisa transfer ke bank.   ",__label__3
Mf sblm nya knpa ko shopee kok playanan nya skrg lambat ya,__label__3
Tidak bisa.    Diinstal,__label__3
Ku kasih dulu 3 soalanya susah banget aktivkan spaylater nya,__label__3
Lemot banget ya setelah updet,__label__3
Knp y kl chekout selalu ada error,__label__3
Sangat membantu sekali,__label__3
Lumayan bisa bantuin,__label__3
Sistim COD yang baik,__label__3
Produk nya baik baik,__label__3
Gak bisa dapat kode otp,__label__3
Kk kok g bs dibuka y,__label__3
kok shoppylater gak bisa d aktifin yabh ngab,__label__3
Kok pengiriman sekarang aga lama yaa.   .   .   .   .   .   .   .   .   .   .   .   ,__label__3
Sering g bisa dibuka,__label__3
"Kasi bintang 3 dulu nanti kalau shopee dah bagus lagi baru kasi bintang 5 ,   yaa masa kita harus isi shopeepay dulu baru bisa kepake itu voucher ,   dulu masih bisa gunakan voucher walaupun tdk isi shopeepay terlebih dahulu.    Ayo dong shopee jangan gitulah kepada pengguna setiamu.   ",__label__3
ongkirnya terlalu mahal,__label__3
Kok gk bisa diupdate,__label__3
Free ongkir bagus.   .   ,__label__3
Gakbisa bayar pakai dana,__label__3
"App berat bngt ,  susah buka page loding wae",__label__3
"Agak kecewa sih paket yg harusnya 1 hari sampai ,   ini sudah 1 minggu engga sampai2 ,   lapor ke shopee cuma di suruh nunggu dan ini sudah satu minggu dan paket masih beluk ada pergerakan ,   mana udah di bayar pake shopee pay itu barangnya.   ",__label__3
Bagus banget appnya !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  !  ! .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .   .    ? ,__label__3
Aplikasinya agak lemot,__label__3
"Voucher ongkir nya ada banyak kenapa gak bisa dipake ? udah ku update aplikasi tetep aja gak bisa padahal deskripsi nya meskipun make via COD bisa pliss kalo emang niat ngasih VC ongkir gratis jangan ada banyak persyaratan nya harus pake ini atau itu lah tolong dibagi rata aja mau pembayaran nya make via apa aja ,   selalu mau CO barang harus mikir di ongkir nya dulu yg kadang lebih mahal drpd barang yg dibeli.   ",__label__3
shopee ngelag bgt sekarang .   ,__label__3
Kolom searchnya error gak bisa ngetik,__label__3
Saya kasih bintang 3 karna saat saya mau log in ke akun saya masa harus geser 2 puzzle .   .   .   iya kalo cuma 4 sampai 5 kali.   .   lah ini berpuluh puluh kali gak selesai selesai juga.   .   jadi kecewa saya akhir nya saya berhenti pakek apk ini .   .   .   padahal saya jualan online tapi kesel banget sama apk nya ngeselin masa mau log in hrus geser2 puzzle dulu😭😭😭,__label__3
Apa dapat pulsa gratiss,__label__3
"Saya pengguna lama shopee ,   makin kesini voucher gratis ongkir semakin banyak tapi semakin sulit di gunakan.    Pasahal sudah sesuai s & k ,   tetap saja voucher tidak bisa di gunakan.    Tolong pihak shopee ,   untuk diperbaiki lagi",__label__3
"G tau ni ya kenapa ,   setiap aku pesan barang selalu g bisa ,   dan ada bacaan akun anda telah di band ,   tolong ini kenapa dan setelah itu saya tidak bisa download shoppe lgi bisa sih tapi stack di 73 ,   mohon sarannya ya min.   ",__label__3
"Apknya berat bkin hp lemot ,  habisin ruang memory z 😂😂😂😂",__label__3
Kita kok gak ri beri koin yah dri toko stelah blanja,__label__3
Update mulu malah tambah lemot ouy.   .   .   .   .   ,__label__3
Aplikasinya jadi berat,__label__3
"Kenapa sekarang klo barang favorit tidak bisa di cari  &  di cari lewat varian nya gitu nggk bisa di filter maksud aku😭 ,   nggk kyk dulu ,   makin jelek aja nih😭 Trs foto review dri customer juga nggk bisa di simpan ke galeri ,   biasanya klo di tekan lama bisa ,   skrng kok gk bisa sih Mohon jangan di ilangin fiturnya soalnya semakin menyusahkan saja😭",__label__3
gratis ongkirnya sangat sedikit,__label__3
Banyak promo menarik,__label__3
Enak sih tpi sayangnya pengirimnnya cumak jnt aja emgga kya dulu,__label__3
"Kak spaylater ku gadaa gimana ,  pdhal mau bayarr😭😭",__label__3
Aplikasi sangat baik,__label__3
Sering banget update,__label__3
error terus aplikasinya,__label__3
Syangnya tdak smua bs cod  &  gratis ongkir,__label__3
Sinyalnya kurang baik,__label__3
pengiriman suka lama melebihi estimasi apalagi klo kurir.   a shope expres,__label__3
"Tadinya seneng banget pake shopee bisa gratis ongkir dan cod tapi semenjak akhir tahun 2021 dan sekarang shopee jadi mahal ongkirnya ,  naik semua ga ad yg 0 Rp.    jarang toko yg bisa cod ,  padahal saya sudah member platinum.   jujur sangat2 kecewa.   ",__label__3
Sekarang gratis ongkirnya pas promo aja,__label__3
Susah dpt orderan.   .   .   .   😔,__label__3
Sering terjadi error,__label__3
Ya allah masih burik bgt dah server nya,__label__3
Shopee kbnyakan update klo ke gnih lama² memori hp saya penuh,__label__3
Saya bitang tiga y.   .   ,__label__3
"shopee emg paling enak buat belanja atau dll ,   tapi seller nya buruk ,   padahal berlogo shopee mall ,   kirim produk aja salah ,   ga bisa di balikin alasan kemasan rusak ,   setidaknya kembalikan uang setengah atau seperempat ,   bera barang beda harga pi shopee ,   kalo kya gitu gak adil untuk pembeli.    Nanti pas gw gede ,   gua beli ni saham shopee ngett gw musnahin tokoh scam anj.    Dah gitu pas ngirim kritik ke penjual setelah 3hari kemudian banyak pesanan cod datang kerumah ,   hhaha toko nya gak terima di kritik.   ",__label__3
Mohon diperbaiki  ! ,__label__3
"Kmaren pernah ada telfon katanya saya dapat hadiah 2.   000.   000 mengatasnamakan Shoppe ,   awalnya saya percaya ,   tpi lama ""  kog jadi susah di saya.    Posisi saya di pesantren ,   tpi susah nya di saya.    Lah terus ternyata ,   ketika saya mundur dari hadiah itu.    Akun Shoppe saya yg di blok.    Bermasalah.    Eh emg bener yaa hadiah itu dri Shoppe ?  Emang harus di blok yaa akunnya  ?  Sangat ""  bikin gak nyaman sih klo gtu",__label__3
"Beli pulsa telkomsel 50rb pake voucher biar dapet koin 2000 +  +  Koinnya mau dipake buat tambahan beli shopeefood ,   lakok pulsanya masuk tp koinnya nunggu 4 jam  - _ -  Udah nonton live buat dapet koin ,   pas mau klaim koinnya gagal terus.    Sekali isi shopeepay pasti nyisa.    Dan bikin kayak pgn isi lagi buat beli2 lagi.    Gitu terus  :  (  Thx shopee.   ",__label__3
Ko daptar sopilater gak bisa yah,__label__3
Upgrade ga kelar kelar,__label__3
Sangat baik buat saya,__label__3
"Saya baru saja pakai apk shoppe ,   ,   Karena penggunaan baru mungkin saya masih belum tau banyak  ,   mau Mau tanya  :  karena saya pengguna baru saya dapet voucher diskon yg 20Rb itu  ,   terus saya pakai buat beli barang kan pakai voucher itu  ,   lah masalah nya ada sama penjual nya yg kagak ngirim ""  lama banget dah  ,   udah lama ""  eh kagak dapat apa ""  dah lewat tanggal nya  ,   Sedih banget dah voucher nya hilang.    Makasih kak",__label__3
"Kurang "" in lah biaya ongkirnya",__label__3
Tolong dong blokir akun² penipu,__label__3
Aplikasinya skrg kok lagi lemot sih,__label__3
Saya upgrade 2x gagal,__label__3
Kenapa shope wekarang ongkirnya mahal yaa,__label__3
Gratis ongkirnya hanya sampai 25rb,__label__3
game ini agak bagus,__label__3
"Untuk pihak shopee tolong dong ekspedisinya dikasih opsi lain masa cuma j & t doang ,   terus juga saya sebagai pengguna shopee dari lama merasa kalau ongkir nya semakin lama semakin tidak masuk akal ,   saya belanja nggak sampek 1kg masak ongkirnya sampek 32 lebih mahal ongkir dari barang yang saya beli ,   tolong dong segera diperbaiki",__label__3
Lagi dicoba dulu ya,__label__3
buka yg lain lancar buka shoppe lelet,__label__3
Kg eror kayaknya sistemnya,__label__3
Jangan lupa download 😍😍,__label__3
"Bagus ,  menyenangkan",__label__3
Njajal isek Egko nek apik tak tambahi bintang di langit,__label__3
"Shopaylaternya knapa dinonaktifkan yaa dgan captionnya ada aktivitas mncurigakan ,   pdahl abis bayar",__label__3
NTEK kali aplikasi nya,__label__3
Ongkir nya tolong agak murahin lah Katanya gratis ongkir,__label__3
Sering lag gak jelas,__label__3
"Untuk shopee tolong dong perbaiki sistem pembayaran ,  kasian penjual barang sudah dikirim tapi harus nunggu konfirmasi dari pembeli yang kadang lupa atau gak paham.   .   .    Kalau bisa ketika sudah lewat tanggal batas konfirmasi otomatis pembayaran masuk ke saldo.   .   .   gak harus nunggu konfirmasi dari pembeli",__label__3
Apk ny bagus 👍,__label__3
"Kenapa shopee saya tdk bs terbuka ya hanya keluar lambang shopee dan berkedap kedip saja ,   ,   ,  sudah saya uninstall dan install ulang tapi masih sama saja ,   ,   ,   ,  bagaimana dengan transaksi yg sdg di proses ya ,   ,   ,  baru kali ini ada masalah seperti ini ,   ,   ,  adakah yg BS bantu kasih solusinya ,   ,   ,  takutnya sampe jatuh tempo S PAYMENT GK BS dibuka juga shopee nya kan BS kena denda pdhal bukan dr kita penyebab masalahnya",__label__3
Pengalaman belanja d shoppe,__label__3
"Tak kurangin 2.   pertama 2 akun ku tiba2 gak bisa dibuka.   udah lama sih.   .   .   tapi yaudahlah gak ada apa2 nya juga jadi sekarang pake punya bini.   dan kedua ,  itu shoope express nya lama banget ya ,  sampe kalah sama ekspedisi yang lain.   padahal punya shopee sendiri kan ? soalnya pasti kecewa kalau pake shopexpress.   untuk yang lain.   .   terimakasih banyak membantu dan meringankan.   ",__label__3
"Apk isinya cuma PHP ,  ",__label__3
Shopeepaylatter saya kok gamuncul,__label__3
Loading masih lambat,__label__3
Mantap bagus sekali,__label__3
barang sesuai harga,__label__3
Sangat membantu bgt,__label__3
Luar biasa lemotnya,__label__3
Tidak bisa d update,__label__3
Tingkatkan lagi yaa,__label__3
barang cepat sampai,__label__3
Barang kurang bagus,__label__3
Kenapa setelah diperbaharui malah jadi lelet.    Malahan DC.    Padahal akses data berjalan sampai 1 mbps / s kadang lebih.    Tapi tetap saja DC.    Jadi tidak tahu kemajuan / info pesanan.    Notif juga tidak sincron muncul notif tapi saat dibuka apps tak ada notif.    Mohon diperbaiki segera.    Karna menyangkut banyak hal termasuk barang yang sudah dipesan.   ,__label__3
Terima kasih shopee🙏,__label__3
Baru mau coba .   .   .   .   ,__label__3
Suka keluar sendiri,__label__3
Biar lebih baik lagi,__label__3
"2tahun lalu aku ada pengguna setia aplikasi Shopee ,   sampe hal - hal kecil aja nyarinya di Shopee.    Tapi sekrang tu lebih banyak kecewa nya sih ,   katanya gratis ongkir pakek Shopee pay ,   tapi malah hanya potongan 15 Ribu.    Trus katanya Harbolnas gratis ongkir pengiriman kemana aja ,   tetap aja bayar ongkir.    Iklannya bagus ,   tapi gak sesuai.    Trus setiap bulan minta di update 🥴",__label__3
Bagus n mudah bila kita pengen belanja namun agak kecewa saja .   .   .   gratis ongkir hanya diberlakukan khusus pulau jawa .   .   .   jadi kita yg tinggal diluar jawa ttp kena ongkir padahal kita sudah cb klik gratis ongkir bolak balik namun ttp saja .   .   .   trus fungsi gratis ongkir yg masuk diinbok notifikasi kita buat apa yah bila tdk bisa dipakai .   .   padahal banyak banget voucernya dn pada akhirnya hangus tak membekas .   .   .   tolong donk shopee kt yg diluar jawa pengen juga donk memakai voucernya makasih,__label__3
"3 aja dulu  ,  udh oke",__label__3
Ongkir kemahalan ke papua jayapura,__label__3
"Makasih shopee terkait pengriman termasuk ongkos kirim udah selesai masalahnya.    Yg jadi masalah lagi TOLONG dari shopee khususnya produk non fisik ini saya sering terhambat karena modal kebanyakan tinggal di toko ,   banyak pembeli habis beli lupa klik pesanan di terima dan harus menungguh setengah bulan baru cair.    Kalau bisanih 1 Minggu aja 7 - 10 ajalah Modal pas pasan soalnya khususnya seller baru",__label__3
Akhir2 ni Lemot bangt jaringan ke shopee bikin kesel,__label__3
Baru daftar ko saldo shopee pay nya 50ribu,__label__3
shopee skrg agak lemot .   .   ,__label__3
Bagus banget aplikasi nya🤩,__label__3
"Cocok buat beli online dengan harga yang lebih murah sayangnya jadi lemot banget jadi gak nyaman mau beli ,   voucher gratis ongkir kebanyakan buat shopeepay belum tentu semua org mau top up suka ngebug voucher gratis ongkir ga bisa dipakai",__label__3
"Aplikasi menghabiskan memori penyimpanan cukup besar ,   sering ngelag kalo lagi lihat - lihat barang langsung macet padahal memori jg masih banyak dan sinyal tidak bermasalah.    Dana shopeepay sering terlambat masuk ke akun.   ",__label__3
Setiap ikut promo dari 10.   10 sampe serba seribu untuk barang mahal seperti handphone dan elektronik g pernah dapat padahal masih no terjual.   .   .   sengaja isi saldo biar bisa langsung dpt.   .   .   dan di info blum terjual tp tetap g dpt.   .   .   apakah yg dpt itu sudah ditentukan akunnya ?  ?  ? ,__label__3
Bnyk bngt penjual penipu d Shope tolong d perbaiki lgi,__label__3
"Halo 3 Bintang untuk penanganan CS baik ,   Alasan saya memberikan 3 Bintang adalah  ?  Karena banyak Beberapa Seller / Penjual kurang untuk Menyikapi pembeli ,   dan Kurang lebih banyak juga Barang yang tidak sesuai  /  ada kerusakan barang yang dikirim.    Dan untuk sikap toko nya tersebut masih kurang baik menyikapi nya Dengan Flat dan menurut saya tidak pantas di E - commerce sebesar ini.    Saya Harapkan semoga kedepannya membaik.   ",__label__3
Sdah memperoleh gold dan sering blanja pkek shopeepay tetep gak dpet shopeylater,__label__3
Brg saya nyangkut gak dikrm krm.   karena gak bisa input resi.   what hapen,__label__3
Admin shopee kurang bijak  ! ,__label__3
"Ini kenapa shopee sekarang loadingnya berat banget mau buka ajha loadingnya bermenit ""  biasanya satu klik aja udah langsung buka.   .   .   ini efek samping nya jadi males buka n belanja d shopee lo kak.   .   .   .   .   padahal sebelum update lancar jaya banget",__label__3
Lemot banget sekarang,__label__3
kenapa ongkirnya mahal amat sekarang,__label__3
Bgus aku suka tpi suka rusak sistemx heng keranjangnya atau dll,__label__3
Lemot untuk game nya,__label__3
"Shopee bagus okelah klo utk cod cuman sekarang baju2 nya kurang bagus  ,   bahan nya panas  ,  dan harga nya mahal banget.   .    Coba donk di sesuaikan antra harga dan bahan ini mahal aja harganya tapi bahan nya panas.   .   .    Utk pihak shopee perbaiki lagi ya kwalitas nya agar tetap bertahan.   🙏😊",__label__3
Kadang suka dpt ampasan,__label__3
"Pengiriman udah bagus ,  sangat sesuai dengan ekspektasi.    Namun kadang aplikasi nya Ga bisa download ( susah ) .    Padahal memori sisa 5 GB.    Ngulang trus.    Minta tolong bagaimana cara mengatasi nya ? .   ",__label__3
