label,reviews
__label__5,"Suka banget,  mempermudah beli sesuatu yang jarak nya mungkin ga bisa di tempuh.  Thank you very much shopee"
__label__5,"Shopee dapat mepermudah memperoleh barang dengan harga terjangkau, recomended buat yang mau belanja online. "
__label__5,"Sangat membatu untuk transaksi online,  untuk fitur pembayaran listrik tolong segera di aktifkan dong min. "
__label__5,Selalu belanja online di shopee.  Saya suka saya suka.  Semoga selalu baik pelayanannya dan banyak diskonnya
__label__5,Mantap shoopee sukses terus dengan produk2 yg berkualitas tinggi dan bagus serta banyak lagi diskon potongan harga nya
__label__5,"aplikasi shopee paling the best,  tapi kenapa ya mau co aja susah banget ini aplikasi paling the best kan. ?"
__label__5,Semua ada si shopee. barangnya bagus2. cicila juga ringan banget. terus maju shoppe
__label__5,Bagus.  Tapi kadang suka lemot apk nya.  Tolong dibuat semakin lebih baik lagi agar memudahkan para pengguna
__label__5,"Shopee luar biasa.  Bnyk keuntungan di dlm ya.  Baru regist dan login aja sdh dapat bonus saldo shopee pay, dan dalat limit do shopee liter.  Mksh shopee, "
__label__5,"Saya senang dengan pelayanan cs nya.  Kalo ada kndala gak bisa handle, gak bisa di andalkan. "
__label__5,"Gak pernah  klo belanja di Shopee,  pengiriman cepat,  barang sesuai dan packing aman. "
__label__5,"Aplikasi yang sangat bàgus, harus bilang apa, andaikan ada bintang tujuh ane kasih tujuh. "
__label__5,"Sangat memuaskan tidak seperti online sebelah,  mana yang dipesan lain yang datang ()"
__label__5,"Senang belanja di shopee,  banyak promo,  harga nya lebih murah di banding online shop dan , "
__label__5,Terimakasih shopee.  tapi harus diteliti apa yang mau dibeli.  Harus lihat realpictnya dll. 
__label__5,minta rating muluk ne aplikasi.  padahal dah dikasih bintang 5 lhoo.  moga dshope bisa lebih memfilter tentang toko2 fake dan lebih spesifik dalam pemaparan quality produk yg di jual oleh toko2.  sukses dan makin bermanfaat untuk khalayak ramai.  💯
__label__5,"Mohon untuk memperbaiki tombol ""pesanan diterima"" karena sering tanpa disengaja terpencet. "
__label__5,Tolong di cek tuh seller yang lama ngimirimnya masa ngemas aja status ga berubah sampe 5 hari Tolong dh di atur deadlinenya buat seller asal2an Kalo perlu kalo yang kelamaan ngasih atau ngirimnya blokir aja biar ke filter yang bagus2 Baca ya Shopee🙏👍👍
__label__5,ManTAp DOWNLOAD JANGAN LIAT KOMEN DOANG
__label__5,"Mohon maaf kepada Shopee, toko yang dialporkan oleh pelanggan segera ditidak lanjutin. soalnya pernah kami mau pesan malah toko omongnya g sopan sama pelanggan"
__label__5,Kren aplikasi belanja online satu ini
__label__5,"Rada voucher nya gabisa dipakai yang luar jawa.  Yang bisa waktu itu cuma SMS :"")"
__label__5,Membeli dengan mudah. tanpa  
__label__5,"Sangat membantu saya ketika repot, "
__label__5,"Produk banyak. sangat variatif,  harga terjangkau,  Mudah di temukan produk yang di cari. "
__label__5,"Shopee memang toopp saya suka belanja di shopee,  apa lagi sekarang banyak gratis ongkirnya"
__label__5,Selama ini tak ada kendala soal barang.  Kadang cuma d kurir yang ada masalah tp ya maklum
__label__5,"Saya baru buka toko di shopee, terima kasih shopee sudah mempermudah proses verifikasi nya"
__label__5,"Sangat membantu,  banyak barang yg diperlukan dan harga nya lebih murah Terimakasih shopee"
__label__5,Mantap banget lancar jaya aplikasi nya 😍😍
__label__5,Bagus banget Apk nya!!!!!!
__label__5,"Suka belanja di shopee.  belanja nyaman.  selalu di shopee dong,  udah brp kali belanja sampai ga keitung. "
__label__5,"Tidak rugi belanja di shopee,  harga terjangkau,  kualitas ok,  mantap pokoknya buat shope"
__label__5,Kok nabung emas saya belum di acc ya padahal saya udah beli 10rb sedang diproses terus mohon di bantu
__label__5,"Insya Allah,  selama belanja memuaskan.  Mudah2an selalu amanah ya. "
__label__5,Sangat bagus sukses terus buat shopee
__label__5,Apak cukup membantu
__label__5,saya sangat suka banget belanja di shopee barangnya selalu memuaskan. pokoknya the best bgt shopee love you 😘😘
__label__5,"Alhamdulillah selama belanja online di shopee semuanya memuaskan kurir juga alhamdulilah dapet yang ramah²,  recommended beli online di shopee😘"
__label__5,"Pokoknya sy puas belanja dsini.  No tipu2,  produknya ori.  Insyaallah sy blnja lg dsinii. "
