review
__label__3  hi admin sohpiee mohon perbaiki sistemnya akun dobel orang menembus akun sohpiee orang penggunaan sohpiee akun pemilik pegangan orang penggunaannya mohon admin sohpiee memperhatikan memperbaiki meningkatkan kualitas kenyamanan pengguna terimakasih
__label__1  email fungsi perbaiki akun clear nomer email sulit selesai payah kak choki
__label__5  beli barang tulisan kesalahan
__label__1  promo ngeprank aplikasi berat penipuan shopee tanggung lepas tangan pembeli beli hp jutaan dikirimnya kardus kosong malu label official gontaganti bakar uang mending benah sistemnya
__label__3  shoppee biaya penanganan via banking ngaruh beli barang valuenya ngaruh beli pulsa harga murah pengaruhi beli kaya biaya penanganan birokrasi biaya penanganan
__label__5  shopee deh barang diskon menarik mumpung cuan mending belanja puas
__label__1  shopee cod
__label__3  penawaran shopee pelanggan pelanggan reward malas kadang cs bagus
__label__1  akun blokir alasan melanggar promosi tarik saldo uang pelayanan susah ampun oper hasil suruh tunggu total seminggu tunggu shopee butuh uang ambil ikhlas ambil silahkan
__label__3  tunggu kode otp daftar shopepay ampun tunggu jam pas dicoba muncul kode verifikasi sms pakai verifikasi telepon telat buru mohon perbaiki minimal menyebalkan tunggu
__label__3  setangah jam cekout sistem cod cekout pakai pengiriman apapun shopee error shoopenya produk dikeranjang dicekout sistem pembayaran apapun kali cekout
__label__1  lumayan sihtapi chekout mahal
__label__3  minimal saran bayar cod barang unboxing buyyer barang diterima rusakpecah seller licik susah menipu buyyer
__label__3  pakai voucher muncul kode voicer voucher mohon pencerahannya
__label__1  kapok pakai spaylater spinjam ribet rugi
__label__1  shopee akun tibatiba logout login logout perbaikan tolong kasih tibatiba maen logout parah
__label__3  kali buka shopee mencari pencarian disuruh halaman utama
__label__1  costumer shopeefood tolong kasih rating driver kesalahan resto rating resto driver rating driver kehilang bonus
__label__5  alhamdulillah bagus suka berbelanja mudah praktis bemun download buruan download menyesal
__label__5  puas belanja shopee
__label__1  berpikir kali anak kalimantan belanja snibukannya beli barang beli ongkirharga barang murah ongkirnya mahalmending pindah toko sebelahstelah bandingin barang harga gila lazada murah btl ongkirnyashoope cari untung ongkir kah
__label__1  shopeekenapa koin shopee hilang teruspadahal nama kayak pencuri
__label__3  aplikasi bagushanya kecewa barang cekoutsudah bayar barangnyasaya paham toko sah cek barang cekout dak
__label__1  barusan lihat brita tribun konsumen beli hp xiomi shopee offical store pas dibuka kardus kosong gimana takut beli hp shopee mohon penjelasannya takut beli hp dishopee
__label__1  lelet jelek ferivikasi
__label__1  pembaharui sistem
__label__1  belanja shopeeada voucher gratis ongkirskrng adaadanya shopee pay ajatmbah kecwa skrngbenar kcwabiaya penangannan mahal gratis ongkir lagidan ptongan ongkir cuman sdkitbiasanya maklumisekarang lagimalas belanja shopetmbh biaya penanganan
__label__1  shopee pay ku pakai kak isi
__label__5  belanja shopee puas pengiriman cepat barang bagus
__label__3  aplikasi berat memakan membuka fitur mohon perbaikannya terima kasih
__label__1  update hp lemot
__label__3  shopee erornge bug pas upload produk isi deskripsi scroll arah pilih merk tampilan putihkadang merk internet lancar mohon bantuannya
__label__3  kak shopee bingung shopee update cek belanjaan hapus cache ku uninstall pasang kayak koneksi internet main game lancar chat pas buka aplikasi shopee loading berjam nyaman pakai shopee update tolong dibantu
__label__5  suka belanja aplikasi barang kualitasnya memusakan alhamdulilah
__label__3  aplikasi membant
__label__3  filter kota pasuruankab pasuruan sellerbuyer kota pasuruan lumayan cari barang susah tolong ditambahi
__label__3  shopee jujur puas pengiriman lambat
__label__3  parah flash sale ribu stock pas check out dikosongkan stock paraah
__label__3  muncul spinjam
__label__5  suka belanja shopee gratis ongkir barang puas
__label__3  kecewa shopee pelit voucher gratis ongkir voucher cashback pelit koin pokonya gakaya untung belanja dishopee kecewa serba pelit tolong kaya pelit malas belanja shopee mending marketplace sebelah
__label__1  kasih bintang bayar pakai shopay saldo cukuo
__label__5  alhamdulilah pakai shopee kendala barang sesuai pesanan
__label__3  aneh lihat toko ups halaman perbaikan toko dibuka difolow
__label__1  jelek lemot freeongkir kayak cuman belanja ongkir mah belanja mahal banyakin freeongkir
__label__1  tolong ganti jnt sumpah pengirimannya toko ganti ekspedisi pengiriman sbl sbl sbl kesal
__label__1  pakai cod aman jne jnt pengiriman aman pas pakai shopee express barang kota tujuan dikirim kecewa
__label__5  bagus bagus terpecaya
__label__5  shopee mantuul belanja online mantap pokok
__label__1  tolong bot flash sale tindak gara gara lawan bot
__label__1  pindah aplikasi sebelah sial shopee
__label__1  aplikasi pemilik aplikasi aplikasi shopee food memberatkan calon mitra driver shopee food mitra driver shopee food wajib beli cash atribut harga ratusan ribu dicicil dp wajar ribu mitra driver shopee food cari uang recehan disuruh beli atribut ratusan ribu rupiah dp ribu wajar shopee food langsung jualan atribut memaksa
__label__3  jaringn memory update aplikasi shopee buka unistal install
__label__1  anjj shopee kesini lemot
__label__3  shopee pembaruan diperbarui lambat buka butuh kecewa belanja aga malas cari barangnya lambat clear cache log out log restart dll jaringan buka lancar buka toko sebelah lancar
__label__5  barang nyicil barang jarang puas barang barangnya
__label__3  shopee please bebaskan memilih ekspedisi sesuai reguler hemat ganti nyata voucer gratis ongkir anggota platinum cek out
__label__3  maaf gan masuk dishoope disuruh masuk didaftarkan bgitu beli barang tolong dibantu gdn kasih bintang normal kasih bintang trm ksh
__label__3  kesini shopee parah promo shopee aplikasi via mobile lemot belepotan high traffic server lemot abies mohon diperbaiki untungnya beli server gedean
__label__5  belanja online membantu teliti membeli
__label__1  akun ku dibuka isi shopee pay ditutup login
__label__5  belanja shopee hemat puas produknya menyenangkan trimakasih shopee
__label__5  suka belanja dishoope pas voucher free ongkirnya
__label__1  awas pakai shopi cicilanmau lunasi lunasi
__label__3  isi token susah bagus
__label__1  puas pelayanan bagus pokok istimewa
__label__5  top markotop shopee
__label__1  kecewa sekian shopee pas ganti hp login pakai verifikasi wajah dikenal masuk susah merugikan
__label__1  nantiambil aplikasi daftar kogak gakdulu orang shopee kirim barang kerumah sayasaya pesan barang peci kembalikanpihak shopee hatihatisering curi data perguna konsumenseperti aplikasi bukalapak data konsumen bocorjual orang tanggung
__label__5  produk dalamnya bagus berkualitas topp markotop bagus deh
__label__5  belanja barang ori harga bersaing pengiriman cepat shopee
__label__5  membantu mager pergi belanja
__label__1  shopee sekrang transaksi paylater gagal kali coba transaksi pakai paylater nunggak pembayaran dibayar tanggal jatuh tempo
__label__1  mohonlah perbaiki aktivasi shopee pay susah masak tunggu berhari terimakasih
__label__1  latter bayar pakai gratis ongkos kirim mahal cod
__label__1  kecewa shopee jasa kirim hemat pulau dihapuskan tolong dihapuskan hematnya tambahin nominal ongkirnya byak reseler kecewa keputusan shopee reseler kecewa pakai reguler aangat mahal barang dijual jualan
__label__5  aplikasi favorit nyaman transaksi shopee
__label__5  pinjam paylatter
__label__5  aplikasinya bagus bermanfaat butuh malas rumah pesan lewan online kualitas kalah produk dijual pasaran offline harganya bervariasi
__label__3  update shopeepay later muncul chat shopee robot teman langsung muncul pay later dompet
__label__3  buka shopee mutar susah kebuka update bagus bagus sinyal internetnya bagus maaf cuman ksh bintang
__label__5  barang bagus puas belanja
__label__5  farel pengunabaru shopee umurku th suka orang komentar buruk kepadaoranglain akumalah memujidan menghargai kerja keras akumohonsekali menkomentari buruk berbicara
__label__3  kak protes beli akun pes stoknya masi pas chat balas naganin gimana kak
__label__1  aplikasi kocak urusin uinya kelogout
__label__1  mohon shopee menyeleksi toko amanah mohon delete blokir minibest salah kirim barang chat direspon pengembalian dana konsumen hati beli minibest amanahuntuk bintang
__label__1  sumpah lemot parah gercep
__label__1  urang ajar jualan barang rusak toko recommended shopee beli shopee ditipu percaya
__label__5  kesal minimal bida chuot sruh varifikasi nomor kode otp varifikasi masukinn kode kode otp salah msukin nomor kode otp coba gimana pusing blaja
__label__1  seller shopee lamatiba akun batasitidak apaga loginpadahal transaksi penjualan prosessudah lapor suruh tunggu harisemakin
__label__3  memakan kuota memutar video livestreaming boros mohon diperbaiki
__label__3  maaf bintangnya nyaman layanan shopee update pilih jasa kirim mohon shopee kembalikan sistem shopee percayalah pengguna shopee kecewa salah satunya
__label__3  aplikasi shopee bagus kecewa oknum penipu mengatas namakan shopee alasan pemenang salah even shopee penipu berasal pihakkaryawan shopee mengirim kode sms nama shopee saran mohon diusut diselidiki merugikan shopee sediri pelanggan tertipu pelanggan cermat teliti terimakasih
__label__1  jelek pelayanan kapok pakai shopee express
__label__5  nyaman aman belanja shopee
__label__1  membantu kehidupan mendesak
__label__5  pelayanan puas
__label__1  kecewa shopee kali toko shopee batasi ajukan banding berjualan kecurangan jualan susah marketplace nomor susah sellernya
__label__5  suka belanja dishopee barang beli sesuai pic
__label__3  maaf minimal turun keluhan shopeepaylater jatuh tempo bayar gimana dendanya stop pembayarannya gagal muncul kode transfer tolong perbaiki secepatnya
__label__1  aplikasi nge lemot kuota tolong diperbaiki trims
__label__3  terimakasih shopee memudahkan berbelanja mencari uang kendala akun shopee lupa sandinya hp ku hilang akun shopeepay block akun sulit mengajukan kesal nutup akun masuk sandi ujung hp ku hilang nomor hilang masuk kode otp susah
__label__1  bayar paylatter tagihan muncul
__label__5  shopee aplikasi diskon anjay
__label__5  diskon mantap shopee godluck
__label__3  kemarin suka pakai aplikasi harga murah pengiriman cepat sayang pengiriman dirubah sulit segampang ribet kesimpulanya pengiriman sungguh disayangkan
__label__1  beli barang kirimannya parah
__label__5  fitur terbaru pay letter belanja mudah menyenangkan terimakasih shopee
__label__5  membantu berbelanja produknya
__label__3  pengiriman lambat pesan brang sekrang
__label__5  jaddi langganan belanja shoppi rumah duduk manis rumah barang terjangkau maksaih shoppi sngt membantu
__label__5  aplikasi terbaik amanah memprioritaskan kualitas thankyou shopee
__label__1  ordermakanan shopee menyebalkan mending pakai gofood murah
__label__3  barusan chekout pakai shopeepay saldo pas pilih metode pembayaran shopeepay bermasalah saldo muncul heran deh chekout fine fine bgni
__label__3  maaf shopee diperbarui kali buka pencarian toko shopee
__label__5  puas
__label__5  pengaduan kesalahan dilayani cs tingkatkan shopee is the best
__label__3  aplikasi ribet pindah akun akun alasan ditinjau woi akun
__label__5  aplikasi bagus merekomendasikan mendownload aplikasi
__label__5  mudah menyenangkan
__label__5  puas nyaman belanja shopee happy shopping terimakasih shopee
__label__5  suka cod
__label__1  bayar tagihan kepotong tagihannya
__label__5  cepat barang
__label__1  pelayanan ramah
__label__1  shopee lampung pengiriman lambat sesuai tanggal estimasisy kecewa
__label__3  lumayan shopee membantu penjualan toko sayang export persyaratan sulit tolong sediakan fitur aplikasi penghapusan data menumpuk update data menumpuk voucer tolong double voucer
__label__3  tolong loading tampilkan langsung loading animationnya loading hapus produk keranjang
__label__1  download aplikasi recommendedpadahal pelanggan gold pengajuan spaylater disetujuihanya reseller murah
__label__3  kecewa sihh pilih ekspedisi harga ekspedisi berbeda beda pilih harga tetepp tolong shopee
__label__1  shopee tolong data pengguna lindungi sebar shopee pay later lunasin tagihan telpon shopee keselnya nagih bayar data pengguna jual kah kesal telpon nomor kenal
__label__1  penipu pengguna promo voucher gratis potongan ribu shoppefood dijanjikan pakai voucher tertulis keterangan promo pakai transaksi apapun kecewa
__label__3  shopee kaya voucher gratis ongkir bayar ongkir enak belanja shopee tolong
__label__1  shopee coba rekrut cs pintar chat dilempar email tunggu balesan nyambung cs sengaja berkali kaya buruk mengecewakan
__label__3  mohon shopee tolong diperbarui shopepay maksimal saldo shopepay juta rupiah doang mohon update aplikasinya memperbanyak saldo shopeepay semoga saldonya maksimal juta
__label__5  alhamdulillah shopee sedia terima kasih belanja nyaman aman
__label__3  bagus mudah belanja kecewa gratis ongkir diberlakukan khusus pulau jawa tinggal diluar jawa kena ongkir klik gratis ongkir bolak fungsi gratis ongkir masuk diinbok notifikasi dipakai voucernya hangus membekas tolong shopee diluar jawa memakai voucernya terimakasih
__label__5  deh shopee promo the best
__label__5  suka belanja shopee belanja mudah cepat terpercaya
__label__1  mohon maaf berbelanja sopijustru habis belanja akun shopee masuk akun shopee akun sampi kali kejadian alasan pelanggaransaya bingung inibahkan saldo sopipay coin sopiyg saldo coin shopee banyakmohon solusinya bijak rugikanterimakasih perhatianya
__label__5  bagus shoping shoping lihat ku bagus
__label__1  kecewa penjual amanah mencantumkan deskripsi produk sesuai shopee memutuskan proses pengembalian proses shopee pinjam transparan pinjam tanggal jatuh tempo tanggal otak ditelponin kayak ngutang puluhan juta dibayar bertahun bi ceking kolek sebulan tanggal pinjam
__label__5  mantaapp berbelanja aman lihat barang
__label__5  kasih cocok beli online diskonnya
__label__5  pesanan sesuai hargapun tejangkau terimakasih shopee shopee deh belanja
__label__1  event juta temanteman ajak orang download shopee pas mencoba menarik uang hasil ajak teman ditolak event alasan aktivitas janggal sungguh kecewa event shopee
__label__3  shopee goyang perbarui cachenya hapus tolong perbaiki terima kasih
__label__5  jasa kirim hemat tersedia toko tersedia mohon penjelasannya shopee
__label__1  leemoot loadingnya ragu flashsale barang detik langsung keterangan habis mending uninstall aplikasi pindah sebelah
__label__3  senang belanja voucher gratis ongkir kebanyakan voucher shopee pay pembeli diarahkan belanja shopee pay
__label__5  bagus terpercaya
__label__3  gambar produknya dimuat lemot tolong ditingkatkan konsumen tunggu ecommerce sebelah baikbaik ijo merah biru tua
__label__3  sistem cod bayar ditempat toko tertera cod bayar ditempat indonesia pakai sistem cod bingung
__label__1  barang pengirimannya minggu properti beli shopee acara sekolahan terpakai rugi
__label__5  gagal daftar sopeylater salah dmn tolong dunk admin bantu
__label__5  aplikasi bagus orang suka belanja online aman terpercayaii
__label__3  aduh shopee lelet buka diberanda gambar muncul buka toko orang jeleekk pas lihat live lancar kuota gimana pesan barang customer tunggu shoppee cepetan diperbaiki doong ngesearch
__label__5  barang dijual kualitas bagus pelayanan cs bagus
__label__3  susah posisi barang dimana tulisannya cuman barang dikirim kota tujuan sperti cuman cepat kaya haduuh payah
__label__3  shopee akun tersedia pay latter belanja profil lengkap ktp nomor rek data lengkap tolong tinjauan
__label__3  pengiriman seblumnya cepat kali dipengemasannya barang lumayan kadang bagus bagus mohon ditingkatkan yall
__label__1  lelet loading
__label__1  reward saldo event masuk
__label__3  bagus memudahkan aktipitas sehari terganggu mantap
__label__3  hallo pengguna setia shopee puluhan ratusan transaksiorder shopee kecewa shopeepahlater limitnya tarik habis shopee bayar tanggal jatuh tempo habis tolong limit shopeepaylaternya dipulihkan membantu
__label__5  mantap aplikasi promo menarik suka belanja
__label__5  barangyg beli percaya
__label__5  bru ksh rating smga kdpny slma ckup ordern trblng aman cuman kdng dpngmsan agk lma stok brgy ksong dkonfmsi enk ja
__label__3  jaringan tolong diperbaiki penjualan reseller tolong perhati tanggal pengiriman sesuai tanggal perjanjian barang kadang tanggal barang tolong diperhatikan penjual shopee jakarta ppkm jalan trima kasih
__label__3  aplikasi intuitif berat hp penyimpanan cache saran coba hilangkan fitur perjelas alur menu fungsi aplikasi
__label__3  harga murah gratis ongkir
__label__1  aplikasi olshop kurir lagiyang sayangkan perhatikn maksudnya aplikasi hitung seminggu update diplaystoreorang pengaturan aplikasi playstore update autosengaja maling quota kah amit aplikasi shopee update seminggu yuu pecinta olshop aplikasi olshop jarang update playstore
__label__3  lihat paketku
__label__5  tolong dicek dikirim tingkatkan kualitas pelayanan terimakasih
__label__1  login susah
__label__5  aplikasi membantu
__label__3  layanan penyedia sayangkan dalan memakai voucher kadang gagal voucher gratis ongkir minimal pembelian ribu melebihi batas pembelian doang kecewa kadang gagal memakai voucher
__label__5  barang original pengiriman cepat semoga amanah barokah amin
__label__1  teruntuk pengguna shopee fitur beli topup aplikasi dikecewakan tunggunya wajar orang uang disuruh menunggu usahakan jam gagalini tunggu saldonya rugi menunggu tolong diperbaiki sistem topupnya komplain
